Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
iProver---3.0-7.3.0,7.3.0,2.15862,0,378,0,0
iProver---3.0-7.4.0,7.4.0,2.15862,0,378,0,0
Geo-III---2016C-7.0.0,7.0.0,2.1569,0,392,0,0
Geo-III---2016C-7.1.0,7.1.0,2.1569,0,392,0,0
Geo-III---2016C-7.2.0,7.2.0,2.1569,0,392,0,0
Vampire---4.0.5-6.4.0,6.4.0,2.12158,0,355,0,0
E---2.5-7.4.0,7.4.0,2.09406,0,373,0,0
E-SAT---2.5-7.4.0,7.4.0,2.09406,0,373,0,0
Geo-III---2015E-6.3.0,6.3.0,2.0686,24.66426,383,0,0
Geo-III---2015E-6.4.0,6.4.0,2.0686,0,383,0,0
E---2.6-7.5.0,7.5.0,2.0486,0,372,0,0
E-SAT---2.6-7.5.0,7.5.0,2.0486,0,372,0,0
E---2.1-7.1.0,7.1.0,2.04601,0,365,0,0
E-SAT---2.1-7.1.0,7.1.0,2.04601,0,365,0,0
E---2.1-7.2.0,7.2.0,2.04601,0,365,0,0
E-SAT---2.1-7.2.0,7.2.0,2.04601,0,365,0,0
E---2.0-7.0.0,7.0.0,2.02935,0,364,0,0
E-SAT---2.0-7.0.0,7.0.0,2.02935,0,364,0,0
Vampire---4.0-6.3.0,6.3.0,2.01125,22.31106,348,0,0
VampireZ3---1.0-6.3.0,6.3.0,2.00138,23.20323,365,0,0
E---1.9.1-6.4.0,6.4.0,1.9984,0,364,0,0
E-SAT---1.9.1-6.4.0,6.4.0,1.9984,0,364,0,0
Enigma---0.5.1-7.5.0,7.5.0,1.99718,0,367,0,0
Enigma---0.5.1-8.0.0,8.0.0,1.99718,0,367,0,0
Enigma---0.5.1-8.1.0,8.1.0,1.99718,0,367,0,0
Enigma---0.5.1-8.2.0,8.2.0,1.99718,0,367,0,0
E---1.9.1-6.3.0,6.3.0,1.99104,24.16428,363,0,0
E-SAT---1.9.1-6.3.0,6.3.0,1.99104,24.16428,363,0,0
Enigma---0.4-7.4.0,7.4.0,1.98999,0,360,0,0
E---2.6.X-8.0.0,8.0.0,1.97987,0,366,0,0
E-SAT---2.6.X-8.0.0,8.0.0,1.97987,0,366,0,0
E---2.6.X-8.1.0,8.1.0,1.97987,0,366,0,0
