Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.0,657.07087,5306.00000,174.00000
ET---0.2,434.00682,4747.00000,31.00000
E-SAT---1.9.1,363.71503,4681.00000,0.00000
E---1.9.1,362.76674,4676.00000,0.00000
VampireZ3---1.0,307.79217,4457.00000,0.00000
CVC4---1.5pre,240.64806,3888.00000,14.00000
Isabelle---2015,213.98521,3848.00000,1.00000
Isabelle-HOT---2015,207.50470,3813.00000,0.00000
iProver---2.0,188.12248,3258.00000,8.00000
SRASS---0.1,181.64906,3427.00000,2.00000
SInE---0.4,174.78117,3305.00000,0.00000
Fampire---1.3,174.37138,3292.00000,1.00000
ePrincess---1.0,148.92622,3006.00000,2.00000
Z3---4.4-TPTP,145.09284,2959.00000,0.00000
SPASS---3.7,140.68932,3045.00000,1.00000
SNARK---20120808r022,121.39030,2746.00000,0.00000
Prover9---1109a,118.40845,2418.00000,6.00000
leanCoP---2.2,109.99966,2458.00000,0.00000
CVC4-SAT---1.5pre,104.41951,2486.00000,0.00000
Beagle---0.9.32,102.34151,2536.00000,0.00000
Equinox---5.0,94.88344,2184.00000,0.00000
E-Darwin---1.5,93.92446,2319.00000,0.00000
Darwin---1.4.5,88.02914,2122.00000,1.00000
LEO-II---1.6.2,87.51471,2271.00000,0.00000
iProver-Eq---0.85,78.74310,1991.00000,0.00000
Bliksem---1.12,76.51042,1646.00000,14.00000
Zipperpin---0.4,75.75750,2049.00000,0.00000
Muscadet---4.5,75.66212,1482.00000,4.00000
iProverMo---0.7-0.3,75.43340,1807.00000,0.00000
Metis---2.3,70.44459,1854.00000,1.00000
Geo-III---2015E,59.81169,1433.00000,5.00000
SuperZenon---0.0.1,51.01823,1481.00000,0.00000
ZenonArith---0.1.0,50.58275,1374.00000,4.00000
Zenon---0.7.1,47.88807,1416.00000,0.00000
ZenonModulo---0.4.1,41.16150,1281.00000,0.00000
SOS---2.0,31.31255,1005.00000,0.00000
Faust---1.0,13.64082,460.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Paradox---4.0,0.00000,0.00000,0.00000
Otter---3.3,0.00000,0.00000,0.00000
DCTP---1.31,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
CVC4-TFF---1.5pre,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
CVC4-TFN---1.5pre,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
DarwinFM---1.4.5,0.00000,0.00000,0.00000
FDP---0.9.16,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
S-SETHEO---0.0,0.00000,0.00000,0.00000
Zipperpin-TFF---0.4,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
Satallax---2.8,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
Princess---150706,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
Nitpick---2015,0.00000,0.00000,0.00000
Vampire-SAT---4.0,0.00000,0.00000,0.00000
Gandalf---c-2.6,0.00000,0.00000,0.00000
iProver-SAT---2.0,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
