Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.2,865.76029,5604.00000,377.00000
ET---2.0,370.94016,4711.00000,18.00000
E---2.1,301.82820,4560.00000,1.00000
E-SAT---2.1,280.96987,4505.00000,0.00000
CVC4---1.5.2,242.49238,4133.00000,11.00000
Isabelle---2016,206.56100,3976.00000,0.00000
Vampire-SAT---4.2,204.78908,3722.00000,0.00000
Isabelle-HOT---2016,198.48980,3917.00000,0.00000
iProver---2.7.5,197.02750,3462.00000,4.00000
Leo-III---1.2,177.20106,3744.00000,0.00000
SInE---0.4,169.77925,3362.00000,0.00000
SRASS---0.1,159.84476,3427.00000,2.00000
Fampire---1.3,157.02146,3325.00000,2.00000
Z3---4.4.1,144.19522,3092.00000,1.00000
iProver-SAT---2.6,133.47596,3107.00000,2.00000
ePrincess---1.0,132.22578,3058.00000,1.00000
Princess---170717,123.23465,2967.00000,0.00000
SPASS---3.9,117.75203,2983.00000,0.00000
SNARK---20120808r022,108.36811,2765.00000,0.00000
CVC4-SAT---1.5.2,104.61419,2596.00000,1.00000
Prover9---1109a,102.83652,2440.00000,0.00000
leanCoP---2.2,97.56645,2482.00000,0.00000
lean-nanoCoP---1.0,96.50658,2482.00000,0.00000
Zipperpin---1.4,91.82116,2582.00000,0.00000
Beagle---0.9.47,90.70811,2555.00000,0.00000
Equinox---6.0.1a,90.32866,2423.00000,1.00000
E-Darwin---1.5,82.56406,2326.00000,0.00000
Darwin---1.4.5,79.35892,2147.00000,1.00000
LEO-II---1.7.0,78.36966,2312.00000,0.00000
iProver-Eq---0.85,69.71560,1991.00000,0.00000
Twee---2.1.5,66.91217,1411.00000,3.00000
Muscadet---4.5,65.95335,1505.00000,0.00000
Metis---2.3,64.10160,1876.00000,1.00000
Bliksem---1.12,61.14918,1665.00000,0.00000
Geo-III---2016C,54.92187,1344.00000,8.00000
SuperZenon---0.0.1,47.01009,1499.00000,0.00000
iProverMo---2.5-0.1,46.46848,1396.00000,0.00000
Zenon---0.7.1,44.15843,1431.00000,0.00000
ZenonModulo---0.4.1,38.62029,1312.00000,0.00000
SOS---2.0,28.17546,1011.00000,0.00000
Faust---1.0,12.26516,460.00000,0.00000
Otter---3.3,6.80363,215.00000,0.00000
Scavenger---EP-0.2,0.08257,3.00000,0.00000
DarwinFM---1.4.5,0.03125,1.00000,0.00000
FDP---0.9.16,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
Satallax---3.2,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
S-SETHEO---0.0,0.00000,0.00000,0.00000
Paradox---4.0,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
DCTP---1.31,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
Gandalf---c-2.6,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
