Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
CVC4---1.5j8-6.4.0,6.4.0,17.5266,5,3854,0,5
Isabelle---2016-7.0.0,7.0.0,16.8442,0,3925,0,0
Isabelle---2016-7.1.0,7.1.0,16.78609,0,3915,0,0
Isabelle---2016-7.2.0,7.2.0,16.78609,0,3915,0,0
Isabelle---2016-7.3.0,7.3.0,16.7601,0.07294,3910,0,0
Isabelle---2016-7.4.0,7.4.0,16.7601,0,3910,0,0
Isabelle---2016-7.5.0,7.5.0,16.7601,0,3910,0,0
Isabelle---2016-8.0.0,8.0.0,16.7601,0,3910,0,0
Isabelle---2016-8.1.0,8.1.0,16.7601,0,3910,0,0
Isabelle---2016-8.2.0,8.2.0,16.7601,0,3910,0,0
Isabelle---2015-6.4.0,6.4.0,16.66015,0,3864,0,0
iProver---2.7.5-7.2.0,7.2.0,16.59041,1,3437,1,1
Isabelle---2015-6.3.0,6.3.0,16.38395,213.98521,3848,0,1
Drodi---3.5.1-8.2.0,8.2.0,16.24406,0,3813,0,0
Isabelle-HOT---2016-7.0.0,7.0.0,16.19969,0,3865,0,0
Isabelle-HOT---2016-7.1.0,7.1.0,16.16834,0,3857,0,0
Isabelle-HOT---2016-7.2.0,7.2.0,16.16834,0,3857,0,0
Isabelle-HOT---2016-7.3.0,7.3.0,16.14236,0.07294,3852,0,0
Isabelle-HOT---2016-7.4.0,7.4.0,16.14236,0,3852,0,0
Isabelle-HOT---2016-7.5.0,7.5.0,16.14236,0,3852,0,0
Isabelle-HOT---2016-8.0.0,8.0.0,16.12867,0,3849,0,0
Isabelle-HOT---2016-8.1.0,8.1.0,16.12867,0,3849,0,0
Isabelle-HOT---2016-8.2.0,8.2.0,16.12867,0,3849,0,0
Isabelle-HOT---2015-6.4.0,6.4.0,15.97997,0,3827,0,0
Isabelle-HOT---2015-6.3.0,6.3.0,15.70575,207.5047,3813,0,0
Zipperpin---2.1-8.1.0,8.1.0,15.66858,0,3726,0,0
Leo-III---1.3-7.3.0,7.3.0,15.62268,0.07294,3801,0,0
Zipperpin---2.1.999-8.2.0,8.2.0,15.59079,0,3714,0,0
iProver---2.6-7.1.0,7.1.0,15.56112,2,3345,1,2
Zipperpin---2.1-8.0.0,8.0.0,15.46194,0,3701,0,0
Vampire-SAT---4.2-7.1.0,7.1.0,15.23547,0,3681,0,0
Vampire-SAT---4.2-7.2.0,7.2.0,15.23547,0,3681,0,0
Vampire-SAT---4.3-7.3.0,7.3.0,15.02669,0.07294,3706,0,0
Vampire-SAT---4.6.1-8.0.0,8.0.0,14.90793,0,3754,0,0
Vampire-SAT---4.5.1-7.5.0,7.5.0,14.82098,0,3720,0,0
Zipperpin---2.0-7.5.0,7.5.0,14.78123,0,3671,0,0
SATCoP---0.1-8.1.0,8.1.0,14.73217,0,3177,0,0
SATCoP---0.1-8.2.0,8.2.0,14.73217,0,3177,0,0
iProver---2.0-6.3.0,6.3.0,14.69964,188.12248,3258,0,8
iProver---3.0-7.3.0,7.3.0,14.67715,0.57294,3621,0,0
iProver---3.0-7.4.0,7.4.0,14.67715,0,3621,0,0
iProver---2.5-6.4.0,6.4.0,14.67451,1,3303,0,1
Leo-III---1.2-7.1.0,7.1.0,14.60323,0,3693,0,0
Leo-III---1.2-7.2.0,7.2.0,14.60323,0,3693,0,0
Vampire-SAT---4.5-7.4.0,7.4.0,14.57734,0,3714,0,0
SATCoP---0.1-8.0.0,8.0.0,14.54494,1,3152,0,1
iProver---2.6-7.0.0,7.0.0,14.47407,0,3343,0,0
Vampire-SAT---4.6.1-8.1.0,8.1.0,14.46625,0,3698,0,0
Vampire-SAT---4.7-8.2.0,8.2.0,13.5084,0,3596,0,0
