Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.7,414.22067,5713.00000,46.00000
SnakeForV---1.0,391.38672,5659.00000,38.00000
Enigma---0.5.1,317.29871,5460.00000,20.00000
CSE_E---1.4,273.77933,5237.00000,15.00000
ET---2.0,252.14862,5110.00000,7.00000
E---3.0,224.61145,5070.00000,0.00000
E-SAT---3.0,224.23470,5066.00000,0.00000
GKC---0.7,191.13643,4490.00000,7.00000
SnakeForV-SAT---1.0,188.09102,4682.00000,1.00000
cvc5---1.0,186.15410,4318.00000,18.00000
Leo-III---1.7.7,160.80325,4166.00000,3.00000
iProver---3.7,156.89321,4311.00000,2.00000
Etableau---0.67,155.65505,4256.00000,1.00000
Leo-III---1.7.0,155.06032,4100.00000,0.00000
Isabelle---2016,147.89961,4029.00000,0.00000
Isabelle-HOT---2016,143.12759,3968.00000,0.00000
Drodi---3.5.1,140.63083,4095.00000,0.00000
Zipperpin---2.1.999,133.16167,3979.00000,0.00000
SATCoP---0.1,123.95948,3408.00000,1.00000
Fampire---1.3,123.71195,3572.00000,4.00000
Vampire-SAT---4.7,121.91028,3850.00000,0.00000
SInE---0.4,112.76253,3427.00000,0.00000
SRASS---0.1,111.24406,3389.00000,0.00000
Z3---4.8.9.0,105.57478,3151.00000,2.00000
ePrincess---1.0,97.73929,3096.00000,2.00000
cvc5-SAT---1.0,93.12596,2983.00000,2.00000
SPASS---3.9,93.11876,3211.00000,0.00000
Princess---230526,86.61455,2876.00000,0.00000
SNARK---20120808r022,81.97799,2937.00000,0.00000
leanCoP---2.2,72.97387,2588.00000,0.00000
Equinox---6.0.1a,71.85112,2565.00000,1.00000
nanoCoP---2.0,70.04531,2519.00000,1.00000
Beagle---0.9.47,68.93160,2647.00000,0.00000
Prover9---1109a,67.83221,2133.00000,2.00000
ZenonModulo---0.4.2,64.37650,1628.00000,0.00000
E-Darwin---1.5,63.67533,2448.00000,0.00000
Darwin---1.4.5,62.81952,2332.00000,1.00000
LEO-II---1.7.0,62.55303,2467.00000,0.00000
CSE---1.5,62.05503,2282.00000,0.00000
Twee---2.4.1,60.48005,1666.00000,3.00000
Bliksem---1.12,51.78809,1844.00000,0.00000
Metis---2.4,50.54514,1990.00000,0.00000
iProver-Eq---0.85,50.29009,1953.00000,0.00000
Geo-III---2018C,49.58969,1516.00000,9.00000
lazyCoP---0.1,49.27985,1848.00000,0.00000
iProverMo---2.5-0.1,37.05179,1493.00000,0.00000
Otter---3.3,36.86483,1632.00000,0.00000
SuperZenon---0.0.1,36.15102,1541.00000,0.00000
Zenon---0.7.1,34.18724,1467.00000,0.00000
PyRes---1.3,25.87844,1207.00000,0.00000
SOS---2.0,24.92953,1084.00000,1.00000
RPx---1.0,18.28851,861.00000,0.00000
Goeland---1.0.0,12.04689,571.00000,0.00000
DarwinFM---1.4.5,10.43331,486.00000,0.00000
Paradox---4.0,8.86665,427.00000,0.00000
Faust---1.0,8.28786,413.00000,0.00000
CSE-F---1.0,0.48478,23.00000,0.00000
JavaRes---1.3.0,0.34803,18.00000,0.00000
Scavenger---EP-0.2,0.06177,3.00000,0.00000
DCTP---1.31,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
Gandalf---c-2.6,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
Toma---0.2,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
FDP---0.9.16,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
Lash---1.12,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
Moca---0.1,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
Satallax---3.5,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
MaedMax---1.4,0.00000,0.00000,0.00000
S-SETHEO---0.0,0.00000,0.00000,0.00000
iProver-SAT---3.7,0.00000,0.00000,0.00000
