Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.0.5,666.97539,5289.00000,131.00000
ET---0.2,469.70963,4773.00000,36.00000
E---1.9.1,407.06324,4729.00000,3.00000
E-SAT---1.9.1,390.09759,4644.00000,1.00000
CVC4---1.5j8,247.93551,3881.00000,16.00000
Isabelle---2015,230.23880,3890.00000,2.00000
Isabelle-HOT---2015,222.81057,3853.00000,0.00000
iProver---2.5,208.34102,3312.00000,4.00000
SRASS---0.1,188.98947,3427.00000,1.00000
SInE---0.4,186.98246,3322.00000,0.00000
Fampire---1.3,182.85447,3292.00000,2.00000
Z3---4.4.1,164.08178,3059.00000,3.00000
ePrincess---1.0,154.75823,3032.00000,5.00000
SPASS---3.7,146.07764,3039.00000,1.00000
Princess---150706,141.38894,2943.00000,0.00000
SNARK---20120808r022,126.93236,2749.00000,0.00000
Prover9---1109a,123.16216,2418.00000,7.00000
leanCoP---2.2,115.88435,2462.00000,0.00000
Beagle---0.9.32,107.01812,2544.00000,0.00000
Equinox---5.0,97.89622,2152.00000,0.00000
E-Darwin---1.5,97.79130,2321.00000,0.00000
Darwin---1.4.5,92.23587,2128.00000,1.00000
LEO-II---1.6.2,90.49004,2270.00000,0.00000
iProver-Eq---0.85,81.98127,1991.00000,0.00000
iProverMo---0.7-0.3,78.97735,1811.00000,0.00000
Bliksem---1.12,78.43653,1653.00000,14.00000
Zipperpin---0.4,78.16791,2045.00000,0.00000
Muscadet---4.5,77.41755,1486.00000,3.00000
Metis---2.3,73.22400,1859.00000,1.00000
Geo-III---2015E,60.10480,1430.00000,2.00000
SuperZenon---0.0.1,52.81236,1486.00000,0.00000
ZenonArith---0.1.0,51.77710,1374.00000,4.00000
Zenon---0.7.1,49.58648,1420.00000,0.00000
ZenonModulo---0.4.1,43.31549,1302.00000,0.00000
SOS---2.0,32.08772,1005.00000,0.00000
Faust---1.0,13.98786,460.00000,0.00000
Paradox---3.0,12.67313,379.00000,0.00000
Mace4---1109a,1.63596,4.00000,1.00000
Otter---3.3,1.09931,38.00000,0.00000
Gandalf---c-2.6,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
iProver-SAT---2.5,0.00000,0.00000,0.00000
Twee---1.0,0.00000,0.00000,0.00000
CVC4-SAT---1.5j8,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
CVC4-TFF---1.5j8,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
FDP---0.9.16,0.00000,0.00000,0.00000
CVC4-TFN---1.5j8,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Nitpick---2015,0.00000,0.00000,0.00000
Vampire-SAT---4.0.5,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
DarwinFM---1.4.5,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
S-SETHEO---0.0,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Satallax---2.8,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
Zipperpin-TFF---0.4,0.00000,0.00000,0.00000
DCTP---1.31,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
