Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.5.1,523.49024,5649.00000,122.00000
Enigma---0.5.1,375.16244,5435.00000,25.00000
ET---2.0,316.62287,5175.00000,10.00000
E---2.6,303.33096,5268.00000,1.00000
CSE_E---1.2,288.21079,5177.00000,3.00000
iProver---3.5,284.36860,4927.00000,14.00000
E-SAT---2.6,279.71896,5106.00000,1.00000
CVC4---1.9,202.37996,4246.00000,14.00000
iProver-SAT---3.5,196.46585,4240.00000,17.00000
GKC---0.5.1,194.20227,4235.00000,0.00000
Leo-III---1.5.6,189.74697,4109.00000,17.00000
Isabelle---2016,171.15757,4029.00000,0.00000
Isabelle-HOT---2016,165.43586,3971.00000,0.00000
Vampire-SAT---4.5.1,158.62129,4006.00000,3.00000
Zipperpin---2.0,150.71232,3914.00000,0.00000
Fampire---1.3,135.05694,3533.00000,1.00000
SInE---0.4,132.75439,3427.00000,0.00000
SRASS---0.1,128.23336,3389.00000,0.00000
Z3---4.8.9.0,124.08052,3151.00000,4.00000
ePrincess---1.0,112.45594,3109.00000,2.00000
SPASS---3.9,105.46121,3180.00000,0.00000
Princess---170717,104.03984,3005.00000,0.00000
CVC4-SAT---1.9,97.44373,2826.00000,2.00000
SNARK---20120808r022,93.26141,2917.00000,0.00000
Drodi---3.1,89.98950,2917.00000,0.00000
Prover9---1109a,89.32006,2594.00000,1.00000
leanCoP---2.2,82.55749,2543.00000,0.00000
CSE---1.3,80.61668,2402.00000,0.00000
Beagle---0.9.47,78.68897,2638.00000,0.00000
Equinox---6.0.1a,77.25178,2473.00000,0.00000
nanoCoP---1.1,75.92136,2433.00000,1.00000
E-Darwin---1.5,73.28417,2448.00000,0.00000
ZenonModulo---0.4.2,71.79236,1611.00000,0.00000
Darwin---1.4.5,71.41002,2307.00000,1.00000
LEO-II---1.7.0,68.93440,2394.00000,0.00000
iProver-Eq---0.85,57.66012,1953.00000,0.00000
Twee---2.3.1,56.54102,1536.00000,1.00000
Muscadet---4.5,55.98747,1511.00000,1.00000
Metis---2.4,55.43045,1932.00000,1.00000
Bliksem---1.12,55.24519,1817.00000,0.00000
Geo-III---2018C,52.40681,1473.00000,9.00000
iProverMo---2.5-0.1,41.57016,1463.00000,0.00000
SuperZenon---0.0.1,41.09913,1528.00000,0.00000
Zenon---0.7.1,38.93190,1463.00000,0.00000
PyRes---1.3,29.58960,1200.00000,0.00000
SOS---2.0,28.17409,1115.00000,0.00000
Faust---1.0,9.48150,413.00000,0.00000
Otter---3.3,7.46738,271.00000,0.00000
Etableau---0.2,5.98671,132.00000,0.00000
RPx---0.1,4.92196,214.00000,0.00000
DarwinFM---1.4.5,0.44618,17.00000,0.00000
lazyCoP---0.1,0.43009,13.00000,0.00000
Paradox---4.0,0.37611,15.00000,0.00000
Scavenger---EP-0.2,0.07304,3.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
Gandalf---c-2.6,0.00000,0.00000,0.00000
Satallax---3.5,0.00000,0.00000,0.00000
S-SETHEO---0.0,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
DCTP---1.31,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
MaedMax---1.3,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
FDP---0.9.16,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
Moca---0.1,0.00000,0.00000,0.00000
