Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.2,105.61245,1312.00000,16.00000
iProver---2.6,97.50888,1315.00000,4.00000
Darwin---1.4.5,61.67331,1206.00000,0.00000
Z3---4.4.1,59.13789,1156.00000,0.00000
Paradox---3.0,49.31687,1095.00000,0.00000
iProver-Eq---0.85,48.64193,1126.00000,0.00000
E-Darwin---1.5,44.97758,1080.00000,0.00000
E-SAT---2.0,43.89686,1068.00000,0.00000
E---2.0,43.89686,1068.00000,0.00000
GrAnDe---1.1,40.11237,616.00000,8.00000
ET---0.2,38.98298,987.00000,0.00000
SPASS---3.9,33.19731,892.00000,0.00000
Equinox---5.0,32.57455,872.00000,0.00000
Beagle---0.9.47,31.33090,845.00000,1.00000
Metis---2.3,31.16160,858.00000,0.00000
Isabelle---2016,30.73110,787.00000,0.00000
Isabelle-HOT---2016,30.66860,786.00000,0.00000
Vampire-SAT---4.2,29.88396,405.00000,0.00000
CVC4---1.5.2,27.90975,762.00000,0.00000
Bliksem---1.12,27.62098,795.00000,0.00000
Geo-III---2016C,27.45427,789.00000,0.00000
iProver-SAT---2.6,26.73317,401.00000,0.00000
iProverMo---0.7-0.3,25.98061,742.00000,0.00000
DCTP---1.31,24.59726,612.00000,0.00000
SNARK---20120808r022,21.28397,635.00000,0.00000
FDP---0.9.16,21.05056,557.00000,0.00000
Prover9---1109a,19.95818,622.00000,0.00000
Zipperpin---0.4,19.24789,615.00000,0.00000
ZenonModulo---0.4.1,18.58306,587.00000,0.00000
Nitpick---2016,18.14540,325.00000,0.00000
DarwinFM---1.4.5,17.50086,338.00000,0.00000
CVC4-SAT---1.5.2,16.90836,328.00000,0.00000
SOS---2.0,16.16424,545.00000,0.00000
Fampire---1.3,15.42111,411.00000,0.00000
Gandalf---c-2.6,13.98606,417.00000,0.00000
Faust---1.0,12.54164,431.00000,0.00000
S-SETHEO---0.0,12.01491,374.00000,0.00000
Mace4---1109a,11.62164,238.00000,0.00000
LEO-II---1.7.0,10.46453,349.00000,0.00000
Otter---3.3,10.26622,340.00000,0.00000
SETHEO---3.3,9.69962,325.00000,0.00000
Zenon---0.7.1,9.43487,285.00000,0.00000
SuperZenon---0.0.1,9.15715,280.00000,0.00000
SInE---0.4,8.82115,275.00000,0.00000
Princess---160606,8.69367,268.00000,0.00000
SRASS---0.1,8.60988,267.00000,0.00000
CARINE---0.734,8.17411,277.00000,0.00000
leanCoP---2.2,6.95054,235.00000,0.00000
ePrincess---1.0,6.31883,220.00000,0.00000
Refute---2015,4.63656,96.00000,0.00000
Muscadet---4.5,4.52075,159.00000,0.00000
Crossbow---0.1,0.22222,2.00000,0.00000
Leo-III---1.0,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
Satallax---3.2,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Twee---1.0,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
iProverMo-TF0---2.5-0.1,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
CVC4-TFF---1.5.2,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
CVC4-TFN---1.5.2,0.00000,0.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Zipperpin-TFF---0.4,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
Scavenger---EP-0.1,0.00000,0.00000,0.00000
