Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.6.1,87.50606,1317.00000,11.00000
iProver---3.5,82.77169,1319.00000,5.00000
Vampire-SAT---4.6.1,64.08909,1268.00000,2.00000
Z3---4.8.9.0,52.10452,1171.00000,0.00000
Darwin---1.4.5,48.93304,1209.00000,0.00000
GrAnDe---1.1,44.75370,731.00000,5.00000
iProver-Eq---0.85,39.97100,1126.00000,0.00000
E-SAT---2.6.X,37.61772,1090.00000,0.00000
E---2.6.X,37.61772,1090.00000,0.00000
E-Darwin---1.5,36.73562,1064.00000,0.00000
Equinox---6.0.1a,33.28337,1021.00000,0.00000
cvc5-SAT---1.0,32.60023,1030.00000,0.00000
Etableau---0.67,27.02868,877.00000,0.00000
SPASS---3.9,26.84268,894.00000,0.00000
Drodi---3.1.5,25.74722,882.00000,0.00000
Metis---2.4,25.11037,862.00000,0.00000
Beagle---0.9.47,24.97157,847.00000,1.00000
iProver-SAT---3.5,24.93867,405.00000,0.00000
CSE_E---1.3,24.69385,802.00000,0.00000
cvc5---1.0,24.61175,808.00000,0.00000
Isabelle---2016,23.18590,787.00000,0.00000
Isabelle-HOT---2016,23.07857,784.00000,0.00000
Bliksem---1.12,21.99112,797.00000,0.00000
Geo-III---2018C,21.98015,789.00000,0.00000
Leo-III---1.6.6,21.66212,756.00000,0.00000
Zipperpin---2.1,21.28429,772.00000,0.00000
DCTP---1.31,20.88089,612.00000,0.00000
SATCoP---0.1,19.83187,731.00000,0.00000
GKC---0.7,18.98796,670.00000,0.00000
Paradox---4.0,18.70532,359.00000,0.00000
RPx---1.0,18.03855,566.00000,0.00000
FDP---0.9.16,17.65697,557.00000,0.00000
iProverMo---2.5-0.1,17.02445,634.00000,0.00000
PyRes---1.3,16.89337,680.00000,0.00000
Nitpick---2016,16.72523,330.00000,0.00000
SNARK---20120808r022,15.97881,635.00000,0.00000
DarwinFM---1.4.5,15.83826,341.00000,0.00000
Prover9---1109a,15.30239,621.00000,0.00000
Enigma---0.5.1,13.12892,435.00000,0.00000
ZenonModulo---0.4.2,12.83675,538.00000,0.00000
CSE---1.4,12.46824,523.00000,0.00000
SOS---2.0,12.07126,533.00000,0.00000
Fampire---1.3,11.59985,413.00000,0.00000
lazyCoP---0.1,10.95530,489.00000,0.00000
Gandalf---c-2.6,10.93760,416.00000,0.00000
Crossbow---0.1,10.77585,178.00000,0.00000
Mace4---1109a,10.30948,241.00000,0.00000
Twee---2.4,9.89068,412.00000,0.00000
Faust---1.0,9.56383,431.00000,0.00000
S-SETHEO---0.0,9.36150,374.00000,0.00000
Otter---3.3,8.86099,382.00000,0.00000
LEO-II---1.7.0,7.79135,349.00000,0.00000
SETHEO---3.3,7.62808,325.00000,0.00000
Zenon---0.7.1,6.84777,285.00000,0.00000
Princess---170717,6.79383,275.00000,0.00000
ET---2.0,6.68163,277.00000,0.00000
SuperZenon---0.0.1,6.65815,280.00000,0.00000
CARINE---0.734,6.39768,277.00000,0.00000
SInE---0.4,6.39764,275.00000,0.00000
SRASS---0.1,6.24180,267.00000,0.00000
nanoCoP---1.1,5.66215,255.00000,0.00000
leanCoP---2.2,5.00167,235.00000,0.00000
ePrincess---1.0,4.52024,220.00000,0.00000
Refute---2015,3.86633,96.00000,0.00000
Muscadet---4.5,2.50532,122.00000,0.00000
CSE-F---1.0,1.62971,60.00000,0.00000
JavaRes---1.3.0,1.16613,57.00000,0.00000
Moca---0.1,0.41667,19.00000,0.00000
Scavenger---EP-0.1,0.05882,1.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
Satallax---3.5,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
lambdaE---22.03.23,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
MaedMax---1.3,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
