Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire-SAT---4.3,83.66291,1313.00000,7.00000
iProver---3.0,83.08751,1325.00000,6.00000
Vampire---4.3,75.42640,1307.00000,0.00000
iProver-SAT---3.0,74.06013,1306.00000,0.00000
Darwin---1.4.5,53.41257,1209.00000,0.00000
Z3---4.4.1,51.11868,1159.00000,0.00000
GrAnDe---1.1,46.45919,706.00000,14.00000
iProver-Eq---0.85,43.64432,1126.00000,0.00000
E-SAT---2.4,42.11429,1085.00000,0.00000
E---2.4,42.11429,1085.00000,0.00000
E-Darwin---1.5,41.22817,1083.00000,0.00000
CVC4-SAT---1.7,37.73356,1044.00000,0.00000
Equinox---6.0.1a,36.69770,1005.00000,0.00000
SPASS---3.9,30.93112,894.00000,0.00000
Beagle---0.9.47,29.54302,847.00000,2.00000
Metis---2.4,29.15170,862.00000,0.00000
Isabelle---2016,26.32130,787.00000,0.00000
Isabelle-HOT---2016,26.25880,786.00000,0.00000
Bliksem---1.12,25.38753,797.00000,0.00000
Geo-III---2018C,25.37142,789.00000,0.00000
Leo-III---1.3,24.96888,759.00000,0.00000
CVC4---1.7,24.92815,777.00000,0.00000
CSE_E---1.0,24.64143,774.00000,0.00000
DCTP---1.31,23.29911,612.00000,0.00000
Paradox---4.0,20.62077,359.00000,0.00000
FDP---0.9.16,19.83823,557.00000,0.00000
Zipperpin---1.4,19.50681,669.00000,0.00000
iProverMo---2.5-0.1,19.31075,634.00000,0.00000
SNARK---20120808r022,18.71143,635.00000,0.00000
Nitpick---2016,18.62889,330.00000,0.00000
DarwinFM---1.4.5,17.52504,341.00000,0.00000
Prover9---1109a,17.49438,622.00000,0.00000
ZenonModulo---0.4.2,14.73793,538.00000,0.00000
SOS---2.0,14.38227,545.00000,0.00000
CSE---1.1,13.76571,507.00000,0.00000
Fampire---1.3,13.41607,413.00000,0.00000
Gandalf---c-2.6,12.71208,416.00000,0.00000
Mace4---1109a,11.57456,241.00000,0.00000
Faust---1.0,11.22704,431.00000,0.00000
S-SETHEO---0.0,11.05034,374.00000,0.00000
Otter---3.3,9.45840,340.00000,0.00000
LEO-II---1.7.0,9.05267,349.00000,0.00000
SETHEO---3.3,8.94762,325.00000,0.00000
Princess---170717,7.94853,275.00000,0.00000
Zenon---0.7.1,7.72609,285.00000,0.00000
CARINE---0.734,7.54210,277.00000,0.00000
SuperZenon---0.0.1,7.52186,280.00000,0.00000
ET---2.0,7.47916,276.00000,0.00000
SInE---0.4,7.26494,275.00000,0.00000
SRASS---0.1,7.05892,267.00000,0.00000
nanoCoP---1.1,6.65350,255.00000,0.00000
leanCoP---2.2,5.85684,235.00000,0.00000
ePrincess---1.0,5.28225,220.00000,0.00000
Twee---2.2,5.09577,177.00000,0.00000
Refute---2015,4.49691,96.00000,0.00000
Muscadet---4.5,3.76864,159.00000,0.00000
Moca---0.1,0.49243,19.00000,0.00000
Crossbow---0.1,0.22222,2.00000,0.00000
Scavenger---EP-0.2,0.06667,1.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
MaedMax---0.9,0.00000,0.00000,0.00000
Satallax---3.4,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
