Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.7,77.76574,1290.00000,13.00000
Z3---4.8.9.0,52.94938,1172.00000,4.00000
SnakeForV-SAT---1.0,50.83767,1250.00000,1.00000
Vampire-SAT---4.7,48.71351,1225.00000,1.00000
SnakeForV---1.0,47.96267,1233.00000,1.00000
iProver---3.7,45.82841,1209.00000,1.00000
Darwin---1.4.5,44.78751,1210.00000,0.00000
GrAnDe---1.1,42.60464,756.00000,5.00000
Paradox---4.0,40.44838,1122.00000,2.00000
iProver-Eq---0.85,36.09598,1125.00000,0.00000
E-Darwin---1.5,33.84549,1063.00000,1.00000
E---3.0,31.71518,1075.00000,0.00000
E-SAT---3.0,31.61518,1074.00000,0.00000
Equinox---6.0.1a,31.36420,1062.00000,0.00000
cvc5-SAT---1.0,30.27630,1053.00000,0.00000
DarwinFM---1.4.5,29.47290,990.00000,0.00000
Etableau---0.67,24.21268,883.00000,0.00000
SPASS---3.9,24.07464,895.00000,0.00000
Beagle---0.9.47,22.77926,852.00000,1.00000
cvc5---1.0,22.60514,810.00000,0.00000
Metis---2.4,22.58970,865.00000,0.00000
CSE_E---1.4,21.93742,803.00000,0.00000
Isabelle---2016,21.20940,786.00000,0.00000
Drodi---3.5.1,21.18070,849.00000,0.00000
Isabelle-HOT---2016,21.11902,783.00000,0.00000
Geo-III---2018C,20.05002,793.00000,0.00000
Bliksem---1.12,19.90872,804.00000,0.00000
iProver-SAT---3.7,19.13539,384.00000,1.00000
Leo-III---1.7.0,18.85975,762.00000,0.00000
Leo-III---1.7.7,18.68203,758.00000,0.00000
DCTP---1.31,18.56029,611.00000,0.00000
Zipperpin---2.1.999,18.42574,770.00000,0.00000
SATCoP---0.1,17.65432,734.00000,0.00000
GKC---0.7,17.13997,674.00000,0.00000
RPx---1.0,16.60865,566.00000,0.00000
FDP---0.9.16,15.82493,556.00000,0.00000
Nitpick---2016,15.22950,330.00000,0.00000
PyRes---1.3,15.10113,677.00000,0.00000
iProverMo---2.5-0.1,14.93263,635.00000,0.00000
Prover9---1109a,14.74105,650.00000,0.00000
SNARK---20120808r022,14.32131,638.00000,0.00000
Enigma---0.5.1,11.62798,435.00000,0.00000
ZenonModulo---0.4.2,11.43759,540.00000,0.00000
Crossbow---0.1,11.27589,186.00000,1.00000
Otter---3.3,11.25120,560.00000,0.00000
CSE---1.5,10.62710,506.00000,0.00000
SOS---2.0,10.58275,528.00000,0.00000
Fampire---1.3,10.40992,413.00000,0.00000
lazyCoP---0.1,9.75901,489.00000,0.00000
Gandalf---c-2.6,9.60658,415.00000,0.00000
Mace4---1109a,9.47009,241.00000,0.00000
Twee---2.4.1,8.92068,412.00000,0.00000
Faust---1.0,8.52570,430.00000,0.00000
S-SETHEO---0.0,8.26024,373.00000,0.00000
LEO-II---1.7.0,7.14305,355.00000,0.00000
SETHEO---3.3,6.80636,324.00000,0.00000
Zenon---0.7.1,6.03595,285.00000,0.00000
Princess---230526,5.92149,271.00000,0.00000
SuperZenon---0.0.1,5.87396,280.00000,0.00000
ET---2.0,5.75424,273.00000,0.00000
CARINE---0.734,5.73742,277.00000,0.00000
SInE---0.4,5.64962,275.00000,0.00000
SRASS---0.1,5.51146,267.00000,0.00000
nanoCoP---2.0,5.13982,257.00000,0.00000
leanCoP---2.2,4.78679,246.00000,0.00000
ePrincess---1.0,4.01647,220.00000,0.00000
Refute---2015,3.55741,96.00000,0.00000
Goeland---1.0.0,3.26886,182.00000,0.00000
CSE-F---1.0,1.40468,60.00000,0.00000
JavaRes---1.3.0,1.04140,57.00000,0.00000
Moca---0.1,0.37710,19.00000,0.00000
Scavenger---EP-0.2,0.05263,1.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Lash---1.12,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
MaedMax---1.4,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
Toma---0.2,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Satallax---3.5,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
