Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.0,110.24815,1299.00000,28.00000
iProver---2.0,81.03868,1277.00000,2.00000
VampireZ3---1.0,62.05109,1219.00000,0.00000
Darwin---1.4.5,59.14709,1205.00000,0.00000
iProver-Eq---0.85,48.22275,1126.00000,0.00000
E-Darwin---1.5,44.59309,1079.00000,0.00000
CVC4-SAT---1.5pre,43.65115,1076.00000,1.00000
E---1.9.1,42.81605,1066.00000,0.00000
E-SAT---1.9.1,42.72514,1065.00000,0.00000
GrAnDe---1.1,42.36416,616.00000,8.00000
ET---0.2,38.48847,986.00000,0.00000
CVC4---1.5pre,33.87824,805.00000,0.00000
SPASS---3.7,32.78938,885.00000,0.00000
Equinox---5.0,32.31899,872.00000,0.00000
Metis---2.3,30.84718,857.00000,0.00000
Isabelle-HOT---2015,29.95265,785.00000,0.00000
Isabelle---2015,29.95265,785.00000,0.00000
Beagle---0.9.32,29.84403,840.00000,0.00000
Vampire-SAT---4.0,28.41766,402.00000,0.00000
Bliksem---1.12,27.52010,794.00000,0.00000
Geo-III---2015E,26.71711,775.00000,0.00000
iProverMo---0.7-0.3,25.85899,741.00000,0.00000
iProver-SAT---2.0,25.11455,390.00000,0.00000
DCTP---1.31,24.78460,612.00000,0.00000
FDP---0.9.16,21.40495,557.00000,0.00000
SNARK---20120808r022,21.40292,635.00000,0.00000
Z3---4.4-TPTP,20.03428,474.00000,0.00000
Prover9---1109a,19.94862,622.00000,0.00000
Paradox---4.0,19.04172,346.00000,0.00000
Nitpick---2015,18.55189,325.00000,0.00000
ZenonModulo---0.4.1,18.25599,582.00000,0.00000
DarwinFM---1.4.5,17.03779,337.00000,0.00000
SOS---2.0,16.28918,545.00000,0.00000
Fampire---1.3,14.64429,410.00000,0.00000
Gandalf---c-2.6,14.33889,417.00000,0.00000
Faust---1.0,12.68322,431.00000,0.00000
S-SETHEO---0.0,12.34282,374.00000,0.00000
Mace4---1109a,11.58923,238.00000,0.00000
Otter---3.3,10.57114,340.00000,0.00000
LEO-II---1.6.2,10.42071,351.00000,0.00000
SETHEO---3.3,9.98751,325.00000,0.00000
Zenon---0.7.1,9.01026,285.00000,0.00000
ZenonArith---0.1.0,8.91440,282.00000,0.00000
SuperZenon---0.0.1,8.76676,280.00000,0.00000
SInE---0.4,8.44528,275.00000,0.00000
CARINE---0.734,8.41851,277.00000,0.00000
SRASS---0.1,8.22494,267.00000,0.00000
leanCoP---2.2,6.75948,235.00000,0.00000
Zipperpin---0.4,6.33976,224.00000,0.00000
ePrincess---1.0,6.14252,220.00000,0.00000
Refute---2015,4.47073,96.00000,0.00000
Muscadet---4.5,4.39801,159.00000,0.00000
Crossbow---0.1,0.22222,2.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
Satallax---2.8,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
Zipperpin-TFF---0.4,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
Princess---150706,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
CVC4-TFF---1.5pre,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
CVC4-TFN---1.5pre,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
