Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Waldmeister---710,76.30356,929.00000,26.00000
Twee---2.4.1,59.19753,940.00000,9.00000
CSE_E---1.4,49.12433,908.00000,2.00000
SnakeForV---1.0,48.48245,914.00000,3.00000
E-SAT---3.0,41.76761,893.00000,0.00000
E---3.0,41.36017,889.00000,0.00000
Prover9---1109a,39.57489,816.00000,3.00000
Bliksem---1.12,33.71991,796.00000,0.00000
SnakeForV-SAT---1.0,32.89012,809.00000,1.00000
Leo-III---1.7.7,31.32479,841.00000,0.00000
Leo-III---1.7.0,30.35639,833.00000,0.00000
Etableau---0.67,28.01121,795.00000,0.00000
Vampire---4.7,27.41509,786.00000,0.00000
iProver---3.7,22.34260,726.00000,0.00000
GKC---0.7,22.24460,690.00000,0.00000
Fiesta---2,22.07501,704.00000,0.00000
MaedMax---1.4,21.97356,703.00000,0.00000
Drodi---3.5.1,21.57208,709.00000,0.00000
SNARK---20120808r022,20.93947,669.00000,0.00000
Isabelle---2016,20.89393,677.00000,0.00000
Isabelle-HOT---2016,20.81680,679.00000,0.00000
Gandalf---c-2.6,20.10426,628.00000,0.00000
SPASS---3.9,19.39082,660.00000,0.00000
EQP---0.9e,19.10808,640.00000,0.00000
Zipperpin---2.1.999,19.10117,654.00000,0.00000
cvc5---1.0,19.02452,514.00000,1.00000
LEO-II---1.7.0,18.88589,657.00000,0.00000
Metis---2.4,18.85532,627.00000,0.00000
Matita---1.0,18.54189,630.00000,0.00000
Vampire-SAT---4.7,16.36125,594.00000,0.00000
Beagle---0.9.47,15.06118,558.00000,0.00000
CiME---2.01,14.66451,526.00000,0.00000
Otter---3.3,14.24650,537.00000,0.00000
cvc5-SAT---1.0,13.21266,388.00000,0.00000
iProver-Eq---0.85,12.85528,493.00000,0.00000
DCTP---1.31,11.96677,472.00000,0.00000
E-Darwin---1.5,10.64081,417.00000,0.00000
Geo-III---2018C,10.55539,375.00000,0.00000
Z3---4.8.9.0,10.02220,338.00000,0.00000
Moca---0.1,8.14717,340.00000,0.00000
FDP---0.9.16,5.29944,231.00000,0.00000
Equinox---6.0.1a,5.27642,218.00000,0.00000
SATCoP---0.1,5.05160,214.00000,0.00000
Toma---0.2,4.88963,208.00000,0.00000
Darwin---1.4.5,4.36898,193.00000,0.00000
SOS---2.0,4.11667,183.00000,0.00000
lazyCoP---0.1,3.55379,160.00000,0.00000
CSE---1.5,3.14679,146.00000,0.00000
Faust---1.0,3.01667,129.00000,0.00000
S-SETHEO---0.0,2.93552,118.00000,0.00000
PyRes---1.3,2.33970,110.00000,0.00000
RPx---1.0,0.98222,49.00000,0.00000
iProverMo---2.5-0.1,0.80878,37.00000,0.00000
ZenonModulo---0.4.2,0.74267,37.00000,0.00000
Paradox---4.0,0.18890,10.00000,0.00000
DarwinFM---1.4.5,0.15044,8.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Princess---230526,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
Enigma---0.5.1,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
iProver-SAT---3.7,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
JavaRes---1.3.0,0.00000,0.00000,0.00000
Goeland---1.0.0,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
Scavenger---EP-0.2,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
nanoCoP---2.0,0.00000,0.00000,0.00000
Satallax---3.5,0.00000,0.00000,0.00000
CSE-F---1.0,0.00000,0.00000,0.00000
Lash---1.12,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
