Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Waldmeister---710,91.61385,853.00000,32.00000
Prover9---1109a,47.59606,723.00000,7.00000
E-SAT---2.4,47.41173,803.00000,0.00000
E---2.4,46.91173,802.00000,0.00000
CSE_E---1.0,44.89748,794.00000,0.00000
Bliksem---1.12,39.43771,702.00000,1.00000
Vampire---4.3,37.44455,749.00000,0.00000
Leo-III---1.3,35.92462,747.00000,0.00000
Isabelle---2016,28.91859,677.00000,0.00000
Gandalf---c-2.6,28.84376,628.00000,0.00000
Isabelle-HOT---2016,28.78822,679.00000,0.00000
Fiesta---2,26.67633,645.00000,0.00000
SNARK---20120808r022,24.60930,611.00000,0.00000
MaedMax---0.9,23.94327,605.00000,0.00000
LEO-II---1.7.0,23.20795,607.00000,0.00000
SPASS---3.9,23.15795,602.00000,0.00000
EQP---0.9e,23.12054,589.00000,0.00000
Metis---2.4,22.57445,570.00000,0.00000
Matita---1.0,21.61719,563.00000,0.00000
CVC4---1.7,21.21590,443.00000,0.00000
CiME---2.01,19.63497,526.00000,0.00000
Zipperpin---1.4,18.04585,511.00000,0.00000
Beagle---0.9.47,17.80290,510.00000,0.00000
iProver-Eq---0.85,17.26274,493.00000,0.00000
DCTP---1.31,15.88375,472.00000,0.00000
iProver---3.0,14.89109,448.00000,0.00000
E-Darwin---1.5,13.33260,405.00000,0.00000
Z3---4.4.1,12.14512,324.00000,0.00000
iProver-SAT---3.0,11.93861,382.00000,0.00000
Geo-III---2018C,11.61681,334.00000,0.00000
Moca---0.1,9.47691,313.00000,0.00000
CVC4-SAT---1.7,9.31229,240.00000,0.00000
Vampire-SAT---4.3,8.74918,262.00000,0.00000
FDP---0.9.16,6.99478,231.00000,0.00000
Twee---2.2,5.88994,33.00000,3.00000
Equinox---6.0.1a,5.57788,174.00000,0.00000
Darwin---1.4.5,5.38002,183.00000,0.00000
SOS---2.0,4.73152,167.00000,0.00000
Faust---1.0,3.97720,129.00000,0.00000
S-SETHEO---0.0,3.94576,118.00000,0.00000
CSE---1.1,3.24687,118.00000,0.00000
iProverMo---2.5-0.1,1.05756,37.00000,0.00000
ZenonModulo---0.4.2,0.93836,36.00000,0.00000
Otter---3.3,0.25608,6.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
Paradox---4.0,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Princess---170717,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
Scavenger---EP-0.2,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
DarwinFM---1.4.5,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
nanoCoP---1.1,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
Satallax---3.4,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
