Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Enigma---0.4-7.4.0,7.4.0,0,0,0,0,0
ePrincess---1.0-7.1.0,7.1.0,0,0,0,0,0
CARINE---0.734-7.5.0,7.5.0,0,0,0,0,0
nanoCoP---1.1-7.5.0,7.5.0,0,0,0,0,0
LEO-II---1.7.0-8.0.0,8.0.0,0.03325,0,9,0,0
TPS---3.120601S1b-6.4.0,6.4.0,0,0,0,0,0
DarwinFM---1.4.5-6.4.0,6.4.0,4.31056,0,558,0,0
SuperZenon---0.0.1-7.5.0,7.5.0,0,0,0,0,0
TPS---3.120601S1b-7.4.0,7.4.0,0,0,0,0,0
EQP---0.9e-8.0.0,8.0.0,0,0,0,0,0
Vampire---4.3-7.3.0,7.3.0,2.90341,0,403,0,0
DCTP---1.31-8.1.0,8.1.0,1.66121,0,330,0,0
SATCoP---0.1-8.1.0,8.1.0,0,0,0,0,0
Waldmeister---710-8.0.0,8.0.0,0.03889,0,8,0,0
Gandalf---c-2.6-7.3.0,7.3.0,0,0,0,0,0
Enigma---0.5.1-8.1.0,8.1.0,0,0,0,0,0
Faust---1.0-6.4.0,6.4.0,0,0,0,0,0
iProver-Eq---0.85-7.3.0,7.3.0,1.49152,0,306,0,0
Faust---1.0-8.1.0,8.1.0,0,0,0,0,0
PEPR---0.0ps-8.2.0,8.2.0,0,0,0,0,0
Waldmeister---710-7.0.0,7.0.0,0.03889,0,8,0,0
Isabelle-HOT---2015-6.3.0,6.3.0,0,0,0,0,0
Satallax---3.5-7.5.0,7.5.0,0,0,0,0,0
SPASS-XDB---0.8-7.0.0,7.0.0,0,0,0,0,0
Muscadet---4.5-6.4.0,6.4.0,0,0,0,0,0
TPS---3.120601S1b-8.0.0,8.0.0,0,0,0,0,0
Otter---3.3-7.5.0,7.5.0,0,0,0,0,0
E-KRHyper---1.4-6.4.0,6.4.0,0,0,0,0,0
SPASS-XDB---0.8-7.2.0,7.2.0,0,0,0,0,0
agsyHOL---1.0-8.2.0,8.2.0,0,0,0,0,0
Otter---3.3-7.4.0,7.4.0,0,0,0,0,0
Darwin---1.4.5-8.0.0,8.0.0,1.24311,0,261,0,0
cocATP---0.2.0-7.3.0,7.3.0,0,0,0,0,0
