Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.3,1478.17947,13625.00000,392.00000
Leo-III---1.3,894.73401,11254.00000,84.00000
Isabelle---2016,793.93175,11136.00000,1.00000
Isabelle-HOT---2016,784.53456,11061.00000,1.00000
Vampire-SAT---4.3,764.50787,10818.00000,44.00000
E---2.4,740.38575,11395.00000,1.00000
E-SAT---2.4,670.56097,11181.00000,0.00000
CSE_E---1.0,629.98952,10102.00000,8.00000
CVC4---1.7,602.77545,9485.00000,17.00000
Zipperpin---1.4,559.39682,8510.00000,12.00000
Z3---4.4.1,489.88954,8338.00000,27.00000
iProver---3.0,471.47714,9389.00000,8.00000
CVC4-SAT---1.7,464.59215,7991.00000,6.00000
iProver-SAT---3.0,458.32844,9043.00000,2.00000
LEO-II---1.7.0,426.54168,6750.00000,2.00000
Satallax---3.4,403.45476,2411.00000,36.00000
ET---2.0,390.24101,5259.00000,16.00000
Beagle---0.9.47,356.35172,7748.00000,2.00000
Nitpick---2016,338.35240,1810.00000,108.00000
SPASS---3.9,335.76208,7969.00000,4.00000
Prover9---1109a,311.53119,6538.00000,22.00000
SNARK---20120808r022,305.72113,7012.00000,2.00000
Princess---170717,269.04316,4629.00000,4.00000
Satallax_MaLeS---1.3,266.51905,2031.00000,2.00000
E-Darwin---1.5,250.60957,6639.00000,0.00000
Equinox---6.0.1a,238.03434,6151.00000,0.00000
Darwin---1.4.5,235.10522,5960.00000,4.00000
iProver-Eq---0.85,219.14561,5883.00000,0.00000
agsyHOL---1.0,217.96349,1736.00000,6.00000
Geo-III---2018C,213.09869,4877.00000,12.00000
Bliksem---1.12,209.59694,5329.00000,3.00000
Metis---2.4,194.07278,5355.00000,1.00000
DCTP---1.31,191.62168,3575.00000,47.00000
ZenonModulo---0.4.2,190.76220,3380.00000,2.00000
TPS---3.120601S1b,189.52976,1470.00000,20.00000
Paradox---4.0,176.89332,1671.00000,7.00000
SInE---0.4,172.11746,3808.00000,0.00000
Fampire---1.3,165.90595,3865.00000,3.00000
Gandalf---c-2.6,161.08942,3563.00000,1.00000
CSE---1.1,159.32007,4627.00000,0.00000
SRASS---0.1,156.01205,3657.00000,2.00000
ePrincess---1.0,135.79846,3424.00000,2.00000
iProverMo---2.5-0.1,130.70283,3382.00000,4.00000
DarwinFM---1.4.5,113.15495,1478.00000,0.00000
leanCoP---2.2,102.07547,2831.00000,0.00000
SOS---2.0,98.87339,3214.00000,0.00000
nanoCoP---1.1,98.80390,2818.00000,0.00000
Twee---2.2,94.89639,1975.00000,6.00000
Waldmeister---710,92.07982,862.00000,32.00000
SPASS+T---2.2.22,88.26507,812.00000,0.00000
Refute---2015,87.58597,463.00000,0.00000
Mace4---1109a,86.92561,1057.00000,1.00000
FDP---0.9.16,84.68425,2387.00000,0.00000
cocATP---0.2.0,81.62024,722.00000,2.00000
Muscadet---4.5,67.66462,1704.00000,1.00000
S-SETHEO---0.0,59.82583,1768.00000,0.00000
SuperZenon---0.0.1,55.55525,1878.00000,0.00000
Zenon---0.7.1,52.45803,1807.00000,0.00000
Faust---1.0,51.78508,1827.00000,0.00000
SPASS-XDB---0.8,49.36266,479.00000,1.00000
GrAnDe---1.1,47.33151,735.00000,14.00000
Otter---3.3,42.44837,1351.00000,0.00000
SETHEO---3.3,34.34752,1100.00000,0.00000
Fiesta---2,26.67633,645.00000,0.00000
MaedMax---0.9,24.70251,620.00000,0.00000
EQP---0.9e,23.12054,589.00000,0.00000
CiME---2.01,22.05851,567.00000,0.00000
Matita---1.0,21.61719,563.00000,0.00000
CARINE---0.734,21.20305,744.00000,0.00000
Moca---0.1,19.28682,652.00000,0.00000
Crossbow---0.1,0.22222,2.00000,0.00000
Scavenger---EP-0.2,0.18745,5.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
