Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.2,1702.96853,13473.00000,558.00000
Isabelle---2016,825.19690,11016.00000,2.00000
Isabelle-HOT---2016,814.36432,10940.00000,1.00000
Vampire-SAT---4.2,762.44182,10463.00000,29.00000
E---2.1,758.13667,10901.00000,1.00000
E-SAT---2.1,739.08945,10852.00000,0.00000
CVC4---1.5.2,659.25626,9445.00000,24.00000
Leo-III---1.2,656.70025,6628.00000,76.00000
Zipperpin---1.4,635.14522,8547.00000,36.00000
Z3---4.4.1,516.37440,8228.00000,24.00000
LEO-II---1.7.0,443.99473,6696.00000,3.00000
CVC4-SAT---1.5.2,441.15132,7609.00000,4.00000
iProver---2.6,429.82088,7968.00000,5.00000
iProver-SAT---2.6,428.90464,7951.00000,1.00000
Satallax---3.2,401.80437,2394.00000,38.00000
ET---2.0,383.05034,4977.00000,20.00000
Beagle---0.9.47,376.94590,7623.00000,1.00000
SPASS---3.9,361.59150,7818.00000,3.00000
Prover9---1109a,337.13065,6424.00000,18.00000
SNARK---20120808r022,330.56345,6910.00000,5.00000
Nitpick---2016,324.11914,1719.00000,109.00000
Princess---170717,280.36472,4607.00000,4.00000
Satallax_MaLeS---1.3,268.78889,2036.00000,3.00000
E-Darwin---1.5,267.06745,6530.00000,0.00000
Equinox---6.0.1a,252.41012,6063.00000,1.00000
Darwin---1.4.5,250.67386,5884.00000,4.00000
iProver-Eq---0.85,236.32103,5921.00000,0.00000
Bliksem---1.12,223.46722,5195.00000,8.00000
agsyHOL---1.0,220.27262,1742.00000,7.00000
DCTP---1.31,206.59087,3575.00000,46.00000
Paradox---4.0,205.26277,2940.00000,2.00000
Geo-III---2016C,204.48762,4564.00000,9.00000
Metis---2.3,202.79342,5249.00000,1.00000
TPS---3.120601S1b,189.64286,1480.00000,18.00000
Gandalf---c-2.6,186.10320,3575.00000,1.00000
SInE---0.4,183.32355,3736.00000,0.00000
Fampire---1.3,175.27582,3806.00000,2.00000
SRASS---0.1,169.26582,3695.00000,1.00000
ZenonModulo---0.4.1,159.45577,3281.00000,2.00000
iProverMo---2.5-0.1,144.40610,3354.00000,10.00000
ePrincess---1.0,143.58418,3395.00000,1.00000
lean-nanoCoP---1.0,111.85732,2885.00000,0.00000
leanCoP---2.2,108.34643,2794.00000,0.00000
DarwinFM---1.4.5,107.05687,1442.00000,0.00000
SOS---2.0,106.90444,3182.00000,0.00000
FDP---0.9.16,91.77951,2387.00000,0.00000
SPASS+T---2.2.22,89.04638,812.00000,0.00000
Waldmeister---710,88.83493,841.00000,26.00000
Mace4---1109a,88.07330,1038.00000,2.00000
Refute---2015,87.97130,463.00000,0.00000
cocATP---0.2.0,82.23690,722.00000,3.00000
Muscadet---4.5,72.00953,1692.00000,0.00000
S-SETHEO---0.0,66.75767,1768.00000,0.00000
SuperZenon---0.0.1,58.21778,1862.00000,0.00000
Faust---1.0,57.44721,1884.00000,0.00000
Zenon---0.7.1,55.48616,1795.00000,0.00000
Twee---2.0,52.00381,759.00000,2.00000
SPASS-XDB---0.8,48.66319,479.00000,1.00000
Otter---3.3,43.60017,1287.00000,0.00000
GrAnDe---1.1,38.64920,645.00000,9.00000
SETHEO---3.3,37.48021,1100.00000,0.00000
Fiesta---2,29.30082,633.00000,0.00000
EQP---0.9e,24.59339,571.00000,0.00000
Matita---1.0,23.70130,551.00000,0.00000
CARINE---0.734,22.85328,745.00000,0.00000
CiME---2.01,22.59803,530.00000,0.00000
Crossbow---0.1,0.22222,2.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
