Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.5,1629.65959,15845.00000,324.00000
Leo-III---1.4,848.33980,11512.00000,70.00000
CVC4---1.7,801.72548,11625.00000,41.00000
E---2.5,718.15996,11645.00000,1.00000
Vampire-SAT---4.5,710.87208,11019.00000,24.00000
CVC4-SAT---1.7,709.11180,10027.00000,22.00000
E-SAT---2.5,674.45253,11453.00000,2.00000
Isabelle---2016,674.28663,11136.00000,1.00000
Isabelle-HOT---2016,664.77756,11061.00000,1.00000
CSE_E---1.1,613.76134,10244.00000,23.00000
Z3---4.8.9.0,504.21675,8593.00000,30.00000
iProver---3.0,446.57541,9494.00000,4.00000
iProver-SAT---3.0,445.35811,9157.00000,9.00000
Zipperpin---1.5,422.43413,8503.00000,4.00000
GKC---0.4,389.32290,8230.00000,7.00000
Enigma---0.4,378.52146,6058.00000,5.00000
Beagle---0.9.47,347.05357,7833.00000,2.00000
LEO-II---1.7.0,344.28698,6790.00000,3.00000
ET---2.0,343.35423,5342.00000,7.00000
SPASS---3.9,317.64988,8034.00000,4.00000
Satallax---3.4,307.90220,2447.00000,30.00000
SNARK---20120808r022,293.30563,7062.00000,4.00000
Prover9---1109a,279.77851,6555.00000,11.00000
Princess---170717,265.46242,4678.00000,3.00000
Nitpick---2016,254.16412,1810.00000,21.00000
E-Darwin---1.5,235.56825,6672.00000,0.00000
Equinox---6.0.1a,225.32757,6215.00000,0.00000
Darwin---1.4.5,219.57354,6004.00000,4.00000
Twee---2.2,209.74026,4521.00000,12.00000
iProver-Eq---0.85,204.69136,5883.00000,0.00000
Geo-III---2018C,202.86877,4920.00000,11.00000
Satallax_MaLeS---1.3,194.48286,2031.00000,2.00000
Bliksem---1.12,187.72649,5337.00000,0.00000
Metis---2.4,185.08413,5426.00000,1.00000
DCTP---1.31,183.12486,3575.00000,48.00000
ZenonModulo---0.4.2,180.26673,3430.00000,0.00000
CSE---1.2,168.65975,4940.00000,0.00000
Paradox---4.0,167.12592,1710.00000,2.00000
HOLyHammer---0.21,166.31185,1491.00000,5.00000
agsyHOL---1.0,162.87668,1743.00000,5.00000
Fampire---1.3,154.92722,3909.00000,3.00000
SInE---0.4,152.06371,3808.00000,0.00000
Gandalf---c-2.6,148.92676,3563.00000,1.00000
TPS---3.120601S1b,146.69177,1470.00000,20.00000
SRASS---0.1,143.09012,3657.00000,1.00000
iProverMo---2.5-0.1,128.91219,3456.00000,2.00000
ePrincess---1.0,127.45193,3473.00000,1.00000
DarwinFM---1.4.5,109.96861,1523.00000,0.00000
PyRes---1.2,98.44330,3450.00000,0.00000
leanCoP---2.2,96.08338,2883.00000,0.00000
SPASS+T---2.2.22,92.78529,824.00000,1.00000
nanoCoP---1.1,92.19125,2848.00000,1.00000
SOS---2.0,91.78070,3229.00000,0.00000
Mace4---1109a,82.87602,1057.00000,1.00000
FDP---0.9.16,79.46883,2387.00000,0.00000
Waldmeister---710,75.74774,862.00000,23.00000
Refute---2015,65.77556,463.00000,0.00000
Muscadet---4.5,63.90025,1704.00000,2.00000
cocATP---0.2.0,63.44941,727.00000,2.00000
Crossbow---0.1,59.63444,696.00000,2.00000
S-SETHEO---0.0,55.17073,1768.00000,0.00000
SuperZenon---0.0.1,52.56107,1901.00000,0.00000
Zenon---0.7.1,51.67004,1862.00000,0.00000
GrAnDe---1.1,50.45695,786.00000,14.00000
SPASS-XDB---0.8,49.33568,479.00000,0.00000
Faust---1.0,47.49269,1827.00000,0.00000
Otter---3.3,39.26119,1366.00000,0.00000
SETHEO---3.3,31.59788,1100.00000,0.00000
MaedMax---1.3,29.91798,710.00000,0.00000
RPx---0.1,28.71976,1135.00000,0.00000
Fiesta---2,24.46885,645.00000,0.00000
EQP---0.9e,21.46463,589.00000,0.00000
CiME---2.01,20.56041,567.00000,0.00000
Matita---1.0,19.93399,563.00000,0.00000
CARINE---0.734,19.35696,744.00000,0.00000
Moca---0.1,17.72561,652.00000,0.00000
Scavenger---EP-0.2,0.17501,5.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
