Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.2,1686.72112,13484.00000,545.00000
Isabelle---2016,833.46051,11022.00000,2.00000
Isabelle-HOT---2016,822.42660,10945.00000,1.00000
Vampire-SAT---4.2,758.36337,10472.00000,35.00000
E---2.1,748.77883,10907.00000,1.00000
E-SAT---2.1,729.68161,10858.00000,0.00000
Leo-III---1.2,658.22100,6618.00000,79.00000
CVC4---1.5.2,654.83948,9453.00000,23.00000
Zipperpin---1.4,574.12895,8412.00000,10.00000
Z3---4.4.1,514.83677,8236.00000,24.00000
iProver---2.7.5,448.32528,8066.00000,9.00000
LEO-II---1.7.0,442.34879,6703.00000,3.00000
CVC4-SAT---1.5.2,438.48381,7619.00000,4.00000
iProver-SAT---2.6,428.58417,7960.00000,3.00000
Satallax---3.2,402.10913,2394.00000,38.00000
ET---2.0,378.96340,4988.00000,18.00000
Beagle---0.9.47,374.55576,7631.00000,1.00000
SPASS---3.9,359.71084,7826.00000,4.00000
Prover9---1109a,329.30570,6432.00000,14.00000
SNARK---20120808r022,327.63809,6917.00000,5.00000
Nitpick---2016,321.41232,1718.00000,108.00000
Princess---170717,279.59144,4614.00000,4.00000
Satallax_MaLeS---1.3,268.96032,2036.00000,3.00000
E-Darwin---1.5,265.03692,6538.00000,0.00000
Equinox---6.0.1a,251.04449,6071.00000,1.00000
Darwin---1.4.5,248.61085,5893.00000,4.00000
Twee---2.1.5,246.34720,4319.00000,29.00000
iProver-Eq---0.85,234.86450,5921.00000,0.00000
agsyHOL---1.0,220.34405,1742.00000,7.00000
Bliksem---1.12,216.13781,5202.00000,1.00000
DCTP---1.31,204.59678,3575.00000,46.00000
Geo-III---2016C,202.24939,4573.00000,8.00000
Metis---2.3,200.64648,5256.00000,1.00000
TPS---3.120601S1b,189.65476,1480.00000,18.00000
Gandalf---c-2.6,183.60851,3575.00000,1.00000
SInE---0.4,181.75005,3743.00000,0.00000
Fampire---1.3,173.81307,3817.00000,2.00000
SRASS---0.1,167.41002,3695.00000,2.00000
ZenonModulo---0.4.1,159.45511,3287.00000,2.00000
Paradox---4.0,155.70645,1565.00000,0.00000
iProverMo---2.5-0.1,143.71188,3355.00000,10.00000
ePrincess---1.0,142.74415,3402.00000,1.00000
lean-nanoCoP---1.0,110.73791,2892.00000,0.00000
leanCoP---2.2,107.25136,2801.00000,0.00000
SOS---2.0,105.75849,3186.00000,0.00000
DarwinFM---1.4.5,104.46689,1400.00000,0.00000
FDP---0.9.16,90.51958,2387.00000,0.00000
SPASS+T---2.2.22,89.09083,812.00000,0.00000
Waldmeister---710,88.73140,841.00000,26.00000
Refute---2015,87.85906,463.00000,0.00000
Mace4---1109a,86.80079,1039.00000,2.00000
cocATP---0.2.0,82.29643,722.00000,3.00000
Muscadet---4.5,71.03751,1698.00000,0.00000
S-SETHEO---0.0,66.11056,1768.00000,0.00000
SuperZenon---0.0.1,58.25823,1868.00000,0.00000
Faust---1.0,56.91691,1884.00000,0.00000
Zenon---0.7.1,55.46965,1802.00000,0.00000
SPASS-XDB---0.8,48.69159,479.00000,1.00000
Otter---3.3,43.27135,1294.00000,0.00000
GrAnDe---1.1,39.96252,645.00000,10.00000
SETHEO---3.3,37.24205,1100.00000,0.00000
Fiesta---2,29.34648,633.00000,0.00000
EQP---0.9e,24.61934,571.00000,0.00000
Matita---1.0,23.71346,551.00000,0.00000
CiME---2.01,22.62929,530.00000,0.00000
CARINE---0.734,22.62366,745.00000,0.00000
Crossbow---0.1,0.22222,2.00000,0.00000
Scavenger---EP-0.2,0.19271,5.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
