Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Zenon---0.7.1-6.4.0,6.4.0,4.63913,0.00000,1787.00000,0.00000,0.00000
Mace4---1109a-7.4.0,7.4.0,7.27208,0.00000,1003.00000,0.00000,0.00000
HOLyHammer---0.21-8.2.0,8.2.0,10.84374,0.00000,1258.00000,0.00000,0.00000
E-Darwin---1.5-8.2.0,8.2.0,21.67183,0.00000,6478.00000,0.00000,0.00000
Muscadet---4.5-8.2.0,8.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
GrAnDe---1.1-7.5.0,7.5.0,4.88156,0.00000,784.00000,0.00000,0.00000
CVC4---1.5.2-7.2.0,7.2.0,53.52819,0.00000,9288.00000,0.00000,0.00000
Drodi---3.3.3-8.1.0,8.1.0,29.68372,0.00000,8018.00000,0.00000,0.00000
Prover9---1109a-8.2.0,8.2.0,26.07714,0.00000,6113.00000,0.00000,0.00000
SETHEO---3.3-7.4.0,7.4.0,3.03524,0.00000,1100.00000,0.00000,0.00000
ePrincess---1.0-7.0.0,7.0.0,11.62671,0.00000,3350.00000,0.00000,0.00000
SPASS+T---2.2.22-7.4.0,7.4.0,8.04055,0.00000,805.00000,0.00000,0.00000
EQP---0.9e-8.1.0,8.1.0,1.94638,0.00000,579.00000,0.00000,0.00000
ePrincess---1.0-8.1.0,8.1.0,11.59329,0.00000,3336.00000,0.00000,0.00000
Beagle---0.9.47-7.2.0,7.2.0,31.15300,0.00000,7576.00000,0.00000,0.00000
cocATP---0.2.0-7.2.0,7.2.0,6.19361,0.00000,720.00000,0.00000,0.00000
S-SETHEO---0.0-8.1.0,8.1.0,5.27029,0.00000,1767.00000,0.00000,0.00000
SPASS---3.9-7.4.0,7.4.0,28.64294,0.00000,7776.00000,0.00000,0.00000
Zenon---0.7.1-7.5.0,7.5.0,4.74285,0.00000,1800.00000,0.00000,0.00000
E-KRHyper---1.4-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
ePrincess---1.0-7.2.0,7.2.0,11.63769,0.00000,3351.00000,0.00000,0.00000
Isabelle---2016-7.5.0,7.5.0,55.76392,0.00000,10653.00000,0.00000,0.00000
MaedMax---1.3-8.0.0,8.0.0,2.73959,0.00000,696.00000,0.00000,0.00000
ET---0.2-7.0.0,7.0.0,63.62693,0.00000,10496.00000,0.00000,0.00000
SInE---0.4-7.0.0,7.0.0,13.91244,0.00000,3683.00000,0.00000,0.00000
Waldmeister---710-7.3.0,7.3.0,6.90389,0.00000,840.00000,0.00000,0.00000
Goeland---1.0.0-8.2.0,8.2.0,1.77132,0.00000,757.00000,0.00000,0.00000
CiME---2.01-7.5.0,7.5.0,1.76305,0.00000,530.00000,0.00000,0.00000
JavaRes---1.3.0-8.2.0,8.2.0,0.17416,0.00000,80.00000,0.00000,0.00000
DarwinFM---1.4.5-7.3.0,7.3.0,8.72887,0.00000,1355.00000,0.00000,0.00000
PyRes---1.2-7.4.0,7.4.0,9.12472,0.00000,3359.00000,0.00000,0.00000
Leo-III---1.7.0-8.2.0,8.2.0,76.45070,0.00000,11065.00000,0.00000,0.00000
FDP---0.9.16-7.0.0,7.0.0,7.49720,0.00000,2387.00000,0.00000,0.00000
SInE---0.4-8.2.0,8.2.0,14.04865,0.00000,3703.00000,0.00000,0.00000
Satallax---3.5-8.0.0,8.0.0,27.32065,0.00000,2309.00000,0.00000,0.00000
Beagle---0.9.32-6.4.0,6.4.0,32.31664,0.00000,7673.00000,0.00000,0.00000
SPASS-XDB---0.8-7.1.0,7.1.0,4.47684,0.00000,479.00000,0.00000,0.00000
Gandalf---c-2.6-7.1.0,7.1.0,14.15154,0.00000,3575.00000,0.00000,0.00000
Prover9---1109a-7.0.0,7.0.0,25.75197,0.00000,6395.00000,0.00000,0.00000
Faust---1.0-7.2.0,7.2.0,4.70578,0.00000,1884.00000,0.00000,0.00000
Zenon---0.7.1-8.2.0,8.2.0,4.73844,0.00000,1804.00000,0.00000,0.00000
Crossbow---0.1-7.1.0,7.1.0,0.01980,0.00000,2.00000,0.00000,0.00000
Isabelle-HOT---2016-7.5.0,7.5.0,55.13422,0.00000,10582.00000,0.00000,0.00000
SuperZenon---0.0.1-8.0.0,8.0.0,4.87983,0.00000,1851.00000,0.00000,0.00000
SuperZenon---0.0.1-7.5.0,7.5.0,4.87983,0.00000,1851.00000,0.00000,0.00000
SNARK---20120808r022-6.4.0,6.4.0,26.19070,0.00000,6848.00000,0.00000,0.00000
Matita---1.0-7.5.0,7.5.0,1.83525,0.00000,551.00000,0.00000,0.00000
SPASS+T---2.2.22-7.5.0,7.5.0,8.04055,0.00000,805.00000,0.00000,0.00000
Isabelle-HOT---2016-8.0.0,8.0.0,55.03071,0.00000,10570.00000,0.00000,0.00000
Geo-III---2015E-6.4.0,6.4.0,17.78785,0.00000,4770.00000,0.00000,0.00000
Infinox---1.0-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
LEO-II---1.7.0-7.2.0,7.2.0,33.91861,0.00000,6667.00000,0.00000,0.00000
S-SETHEO---0.0-7.4.0,7.4.0,5.27335,0.00000,1768.00000,0.00000,0.00000
Isabelle---2016-8.1.0,8.1.0,55.76086,0.00000,10652.00000,0.00000,0.00000
Waldmeister---710-7.1.0,7.1.0,6.90389,0.00000,840.00000,0.00000,0.00000
Fampire---1.3-8.0.0,8.0.0,14.14106,0.00000,3785.00000,0.00000,0.00000
Fampire---1.3-8.1.0,8.1.0,14.51293,0.00000,3820.00000,0.00000,0.00000
leanCoP---2.2-7.0.0,7.0.0,8.65470,0.00000,2756.00000,0.00000,0.00000
