Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.3,330.58229,3735.00000,69.00000
E---2.4,247.25124,3652.00000,0.00000
E-SAT---2.4,247.05124,3651.00000,0.00000
CSE_E---1.0,241.54910,3611.00000,4.00000
Leo-III---1.3,171.50839,3205.00000,0.00000
CVC4---1.7,160.90649,2821.00000,3.00000
Isabelle---2016,159.09785,3117.00000,0.00000
Isabelle-HOT---2016,156.00384,3086.00000,0.00000
Prover9---1109a,145.49963,2626.00000,14.00000
Vampire-SAT---4.3,134.70892,2830.00000,0.00000
DCTP---1.31,132.92594,2132.00000,47.00000
iProver---3.0,129.43549,2800.00000,1.00000
Gandalf---c-2.6,118.97965,2498.00000,1.00000
SPASS---3.9,117.66869,2648.00000,1.00000
iProver-SAT---3.0,108.41386,2548.00000,0.00000
Z3---4.4.1,103.08169,2097.00000,2.00000
SNARK---20120808r022,94.38729,2244.00000,1.00000
Beagle---0.9.47,91.10967,2301.00000,0.00000
Zipperpin---1.4,89.72867,2194.00000,0.00000
E-Darwin---1.5,77.29965,2010.00000,0.00000
Bliksem---1.12,75.55923,1892.00000,2.00000
Darwin---1.4.5,71.17487,1795.00000,3.00000
CSE---1.1,69.48776,1841.00000,0.00000
CVC4-SAT---1.7,68.67828,1751.00000,0.00000
Equinox---6.0.1a,67.30736,1733.00000,0.00000
Geo-III---2018C,58.68766,1391.00000,2.00000
iProver-Eq---0.85,54.97341,1555.00000,0.00000
LEO-II---1.7.0,54.10632,1400.00000,0.00000
Metis---2.4,51.44535,1413.00000,0.00000
SOS---2.0,50.80841,1414.00000,0.00000
iProverMo---2.5-0.1,44.67229,1187.00000,0.00000
FDP---0.9.16,44.42828,1341.00000,0.00000
S-SETHEO---0.0,44.27579,1255.00000,0.00000
SETHEO---3.3,24.81371,753.00000,0.00000
Otter---3.3,24.50472,732.00000,0.00000
Faust---1.0,24.01756,778.00000,0.00000
ZenonModulo---0.4.2,22.14466,688.00000,0.00000
CARINE---0.734,13.27151,452.00000,0.00000
Moca---0.1,9.24116,317.00000,0.00000
Twee---2.2,0.17038,5.00000,0.00000
Scavenger---EP-0.2,0.04167,1.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
nanoCoP---1.1,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
Princess---170717,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
Paradox---4.0,0.00000,0.00000,0.00000
DarwinFM---1.4.5,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
Satallax---3.4,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
MaedMax---0.9,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
