Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.0,294.20552,3527.00000,33.00000
E-SAT---1.9.1,270.92059,3533.00000,2.00000
E---1.9.1,268.77774,3530.00000,0.00000
ET---0.2,266.52093,3515.00000,5.00000
VampireZ3---1.0,219.18355,3298.00000,1.00000
Isabelle---2015,183.84721,3047.00000,0.00000
Isabelle-HOT---2015,180.05642,3010.00000,0.00000
CVC4---1.5pre,179.02549,2725.00000,6.00000
Prover9---1109a,170.23577,2578.00000,27.00000
DCTP---1.31,149.63769,2132.00000,52.00000
SPASS---3.7,140.30314,2647.00000,1.00000
Gandalf---c-2.6,139.74441,2509.00000,0.00000
iProver---2.0,108.28904,2209.00000,2.00000
SNARK---20120808r022,108.09208,2201.00000,1.00000
Beagle---0.9.32,108.05847,2276.00000,0.00000
E-Darwin---1.5,90.06595,1979.00000,0.00000
Bliksem---1.12,86.05942,1846.00000,2.00000
CVC4-SAT---1.5pre,79.80730,1708.00000,0.00000
Darwin---1.4.5,79.65414,1748.00000,2.00000
iProverMo---0.7-0.3,75.84211,1620.00000,0.00000
Geo-III---2015E,69.22190,1375.00000,5.00000
Equinox---5.0,68.21953,1359.00000,1.00000
iProver-Eq---0.85,64.55077,1555.00000,0.00000
LEO-II---1.6.2,63.77349,1394.00000,0.00000
SOS---2.0,57.58104,1391.00000,0.00000
Metis---2.3,56.70475,1350.00000,0.00000
FDP---0.9.16,52.17703,1341.00000,0.00000
S-SETHEO---0.0,51.96110,1255.00000,0.00000
SETHEO---3.3,28.77943,753.00000,0.00000
Faust---1.0,28.61280,788.00000,0.00000
ZenonModulo---0.4.1,28.27419,750.00000,0.00000
Otter---3.3,26.84987,706.00000,0.00000
CARINE---0.734,15.41231,453.00000,0.00000
Zipperpin---0.4,0.55483,14.00000,0.00000
Vampire-SAT---4.0,0.00000,0.00000,0.00000
Zipperpin-TFF---0.4,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
Satallax---2.8,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
DarwinFM---1.4.5,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
CVC4-TFF---1.5pre,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
iProver-SAT---2.0,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
Paradox---4.0,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
Princess---150706,0.00000,0.00000,0.00000
Nitpick---2015,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
CVC4-TFN---1.5pre,0.00000,0.00000,0.00000
Z3---4.4-TPTP,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
ZenonArith---0.1.0,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
