Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.2,408.59800,3713.00000,98.00000
E-SAT---2.1,297.27779,3570.00000,0.00000
E---2.1,296.52779,3568.00000,0.00000
Isabelle---2016,184.50794,3069.00000,0.00000
CVC4---1.5.2,183.57148,2773.00000,5.00000
Isabelle-HOT---2016,180.42513,3038.00000,0.00000
Prover9---1109a,167.72884,2593.00000,17.00000
DCTP---1.31,144.32137,2132.00000,46.00000
Gandalf---c-2.6,140.37987,2509.00000,1.00000
SPASS---3.9,134.61846,2599.00000,1.00000
Vampire-SAT---4.2,130.27191,2540.00000,0.00000
Z3---4.4.1,116.39155,2049.00000,1.00000
iProver---2.6,111.88264,2277.00000,1.00000
SNARK---20120808r022,108.86087,2210.00000,4.00000
Beagle---0.9.47,102.84705,2266.00000,0.00000
Zipperpin---1.4,101.37805,2152.00000,0.00000
iProver-SAT---2.6,97.51865,2138.00000,0.00000
E-Darwin---1.5,87.30661,1988.00000,0.00000
Bliksem---1.12,83.30790,1854.00000,2.00000
Darwin---1.4.5,78.62920,1760.00000,3.00000
CVC4-SAT---1.5.2,75.32240,1699.00000,0.00000
Equinox---6.0.1a,74.31548,1687.00000,0.00000
LEO-II---1.7.0,61.98304,1399.00000,0.00000
iProver-Eq---0.85,61.33584,1555.00000,0.00000
Geo-III---2016C,58.40827,1305.00000,0.00000
SOS---2.0,56.66622,1401.00000,0.00000
Metis---2.3,54.74834,1359.00000,0.00000
iProverMo---2.5-0.1,50.70726,1183.00000,0.00000
S-SETHEO---0.0,50.22907,1255.00000,0.00000
FDP---0.9.16,49.64417,1341.00000,0.00000
SETHEO---3.3,27.62250,753.00000,0.00000
ZenonModulo---0.4.1,27.26513,770.00000,0.00000
Faust---1.0,26.93079,788.00000,0.00000
Otter---3.3,26.54631,717.00000,0.00000
CARINE---0.734,14.66201,453.00000,0.00000
Paradox---4.0,6.19621,169.00000,0.00000
Leo-III---1.2,0.93640,16.00000,0.00000
DarwinFM---1.4.5,0.12945,4.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
lean-nanoCoP---1.0,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
Princess---170717,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
Twee---2.0,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Satallax---3.2,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
