Algorithm,Shapley Value,Standalone Performance,Marginal Performance
SnakeForV---1.0,256.53766,3776.00000,35.00000
Vampire---4.7,194.61266,3633.00000,7.00000
CSE_E---1.4,176.02883,3551.00000,8.00000
E-SAT---3.0,164.43582,3539.00000,1.00000
E---3.0,162.99807,3536.00000,0.00000
SnakeForV-SAT---1.0,162.79469,3424.00000,0.00000
Leo-III---1.7.7,141.02862,3366.00000,0.00000
Leo-III---1.7.0,133.13661,3308.00000,0.00000
Etableau---0.67,123.61920,3144.00000,0.00000
cvc5---1.0,119.53309,2842.00000,4.00000
Isabelle---2016,115.65673,3117.00000,0.00000
iProver---3.7,115.26502,3136.00000,0.00000
Isabelle-HOT---2016,113.59710,3086.00000,0.00000
GKC---0.7,113.35158,2996.00000,0.00000
DCTP---1.31,112.51260,2132.00000,47.00000
Zipperpin---2.1.999,112.27495,3064.00000,0.00000
Prover9---1109a,107.67625,2744.00000,4.00000
Drodi---3.5.1,107.05524,2995.00000,0.00000
Vampire-SAT---4.7,88.51224,2711.00000,0.00000
Gandalf---c-2.6,87.65058,2498.00000,0.00000
SPASS---3.9,87.53741,2661.00000,0.00000
SATCoP---0.1,82.11188,2282.00000,6.00000
Z3---4.8.9.0,76.29814,2088.00000,2.00000
SNARK---20120808r022,70.47177,2254.00000,1.00000
Beagle---0.9.47,69.52686,2319.00000,0.00000
Twee---2.4.1,63.88604,1632.00000,1.00000
cvc5-SAT---1.0,62.57022,1973.00000,0.00000
E-Darwin---1.5,57.66953,1979.00000,0.00000
Bliksem---1.12,57.37696,1914.00000,0.00000
CSE---1.5,56.82585,1913.00000,0.00000
Darwin---1.4.5,56.38429,1812.00000,3.00000
Equinox---6.0.1a,53.02150,1808.00000,0.00000
Geo-III---2018C,45.29561,1421.00000,1.00000
Otter---3.3,43.10309,1584.00000,0.00000
iProver-Eq---0.85,42.24699,1555.00000,0.00000
LEO-II---1.7.0,41.83175,1422.00000,0.00000
SOS---2.0,40.14007,1402.00000,1.00000
Metis---2.4,39.55179,1432.00000,0.00000
lazyCoP---0.1,36.94437,1420.00000,0.00000
FDP---0.9.16,34.07332,1341.00000,0.00000
iProverMo---2.5-0.1,33.81900,1204.00000,0.00000
S-SETHEO---0.0,33.38855,1255.00000,0.00000
PyRes---1.3,26.33362,1080.00000,0.00000
SETHEO---3.3,19.28592,753.00000,0.00000
Faust---1.0,18.57649,778.00000,0.00000
ZenonModulo---0.4.2,17.36800,700.00000,0.00000
RPx---1.0,16.14377,683.00000,0.00000
CARINE---0.734,10.40846,452.00000,0.00000
Moca---0.1,7.21618,319.00000,0.00000
DarwinFM---1.4.5,5.74759,208.00000,0.00000
Paradox---4.0,4.28043,169.00000,0.00000
CSE-F---1.0,0.88428,30.00000,0.00000
JavaRes---1.3.0,0.37332,14.00000,0.00000
Scavenger---EP-0.2,0.02941,1.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
Lash---1.12,0.00000,0.00000,0.00000
MaedMax---1.4,0.00000,0.00000,0.00000
Goeland---1.0.0,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Enigma---0.5.1,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
nanoCoP---2.0,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
iProver-SAT---3.7,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
Toma---0.2,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Satallax---3.5,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
Princess---230526,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
