AAANNN.p,SZS,v8.2.0,v8.1.0,v8.0.0,v7.5.0,v7.4.0,v7.3.0,v7.2.0,v7.1.0,v7.0.0,v6.4.0,v6.3.0
AGT030^1,THM,0.30,0.38,0.36,0.36,0.29,0.44,0.44,0.38,0.62,0.57,0.50
AGT031^1,THM,0.20,0.31,0.18,0.18,0.14,0.33,0.44,0.38,0.62,0.43,0.33
AGT031^2,THM,0.30,0.38,0.18,0.18,0.14,0.44,0.56,0.50,0.75,0.71,0.67
AGT032^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.22,0.12,0.38,0.14,0.17
AGT032^2,THM,0.30,0.31,0.27,0.27,0.14,0.33,0.33,0.25,0.50,0.57,0.50
AGT033^1,THM,0.10,0.23,0.18,0.18,0.14,0.33,0.33,0.25,0.50,0.43,0.33
AGT033^2,THM,0.10,0.23,0.18,0.18,0.14,0.33,0.33,0.25,0.50,0.43,0.33
AGT034^1,THM,0.20,0.31,0.18,0.18,0.14,0.33,0.33,0.25,0.50,0.43,0.33
AGT034^2,THM,0.30,0.38,0.18,0.18,0.14,0.33,0.33,0.25,0.50,0.43,0.33
AGT035^1,THM,0.00,0.15,0.09,0.09,0.00,0.11,0.11,0.00,0.12,0.14,0.17
AGT035^2,THM,0.20,0.38,0.18,0.18,0.14,0.33,0.44,0.38,0.62,0.43,0.33
AGT036^1,THM,0.10,0.23,0.18,0.18,0.00,0.11,0.22,0.12,0.25,0.14,0.17
AGT037^1,THM,0.10,0.23,0.18,0.18,0.14,0.33,0.33,0.25,0.50,0.43,0.33
AGT037^2,THM,0.10,0.23,0.18,0.18,0.14,0.33,0.33,0.25,0.50,0.43,0.33
AGT038^1,THM,0.10,0.23,0.18,0.18,0.14,0.33,0.33,0.25,0.50,0.43,0.33
AGT039^1,THM,0.10,0.23,0.18,0.18,0.14,0.33,0.33,0.25,0.50,0.43,0.33
AGT040^1,THM,0.10,0.23,0.18,0.18,0.14,0.33,0.33,0.25,0.50,0.43,0.33
AGT041^1,THM,0.10,0.23,0.18,0.18,0.14,0.33,0.33,0.25,0.50,0.43,0.33
AGT042+1,SAT,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.00,0.00,
AGT042-10,SAT,0.11,0.00,0.00,0.00,0.25,0.25,,,,,
ALG001-1,UNS,0.95,1.00,1.00,1.00,1.00,0.94,0.83,0.83,0.83,1.00,0.93
ALG001-2,UNS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG001-3,UNS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG001^5,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG002-1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12
ALG003-1,UNS,0.47,0.44,0.58,0.58,0.59,0.65,0.62,0.58,0.45,0.46,0.57
ALG004-1,UNS,0.47,0.44,0.53,0.53,0.59,0.59,0.62,0.58,0.45,0.46,0.50
ALG005-1,UNS,0.09,0.17,0.20,0.20,0.25,0.26,0.21,0.21,0.11,0.16,0.21
ALG006-1,UNS,0.05,0.04,0.15,0.15,0.17,0.22,0.16,0.16,0.06,0.05,0.11
ALG007-1,UNS,0.09,0.04,0.15,0.15,0.08,0.22,0.16,0.16,0.06,0.05,0.11
ALG008-1,SAT,0.50,0.70,0.62,0.62,0.67,0.64,0.67,0.67,0.62,0.57,0.29
ALG008-10,SAT,0.33,0.00,0.25,0.25,0.00,0.25,,,,,
ALG009-1,UNS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG010-1,UNS,0.87,0.94,1.00,1.00,0.94,1.00,0.92,0.92,0.91,1.00,1.00
ALG011-1,UNS,0.10,0.10,0.00,0.00,0.11,0.12,0.08,0.08,0.00,0.07,0.00
ALG012-1,UNS,0.20,0.19,0.16,0.16,0.26,0.29,0.17,0.17,0.08,0.20,0.33
ALG013-1,UNS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.93
ALG014+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG014^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG015+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG015^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG016+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG016^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG017+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG017^7,THM,0.50,0.62,0.64,0.64,0.71,0.44,0.44,0.38,0.50,0.43,0.50
ALG018+1,THM,0.22,0.22,0.25,0.25,0.28,0.10,0.24,0.24,0.22,0.27,0.35
ALG018^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG019+1,THM,0.25,0.25,0.28,0.28,0.31,0.13,0.24,0.24,0.22,0.23,0.31
ALG020+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG020^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG021+1,THM,0.10,0.12,0.09,0.09,0.10,0.12,0.15,0.17,0.09,0.07,0.07
ALG021^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG022+1,THM,0.15,0.17,0.13,0.13,0.14,0.18,0.23,0.17,0.09,0.07,0.07
ALG022^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG023+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG023^7,UNS,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALG024+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG025+1,THM,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG026+1,THM,0.15,0.17,0.13,0.13,0.14,0.18,0.23,0.17,0.18,0.13,0.14
ALG027+1,THM,0.20,0.21,0.22,0.22,0.19,0.24,0.31,0.25,0.27,0.27,0.29
ALG028+1,THM,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG029+1,THM,0.17,0.14,0.17,0.17,0.19,0.07,0.07,0.07,0.09,0.10,0.19
ALG030+1,THM,0.17,0.14,0.17,0.17,0.19,0.07,0.07,0.07,0.09,0.07,0.15
ALG030-10,UNS,0.14,0.12,0.05,0.05,0.12,0.13,,,,,
ALG031+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG032+1,THM,0.20,0.17,0.17,0.17,0.19,0.18,0.31,0.33,0.27,0.20,0.21
ALG033+1,THM,0.15,0.12,0.13,0.13,0.14,0.18,0.23,0.25,0.18,0.13,0.14
ALG034+1,UNS,0.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.00,0.00,0.00
ALG035+1,UNS,0.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.00,0.00,0.00
ALG036+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG037+1,THM,0.10,0.08,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG038+1,THM,0.10,0.08,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG039+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG040+1,THM,0.22,0.22,0.25,0.25,0.28,0.10,0.24,0.24,0.22,0.23,0.27
ALG041+1,THM,0.25,0.25,0.28,0.28,0.31,0.13,0.24,0.24,0.22,0.27,0.35
ALG042+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG043+1,THM,0.10,0.08,0.09,0.09,0.10,0.12,0.15,0.17,0.09,0.07,0.07
ALG044+1,THM,0.15,0.12,0.13,0.13,0.14,0.18,0.23,0.17,0.09,0.07,0.07
ALG045+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG046+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG047+1,THM,0.55,0.50,0.48,0.48,0.48,0.47,0.62,0.58,0.64,0.53,0.57
ALG048+1,THM,0.20,0.17,0.17,0.17,0.19,0.24,0.31,0.25,0.18,0.13,0.14
ALG049+1,THM,0.25,0.25,0.22,0.22,0.24,0.29,0.38,0.33,0.27,0.33,0.29
ALG050+1,THM,0.35,0.33,0.30,0.30,0.38,0.35,0.54,0.50,0.45,0.33,0.36
ALG051+1,THM,0.20,0.17,0.17,0.17,0.14,0.18,0.23,0.17,0.18,0.13,0.14
ALG052+1,THM,0.55,0.54,0.52,0.52,0.48,0.47,0.62,0.58,0.64,0.53,0.57
ALG053+1,THM,0.40,0.38,0.30,0.30,0.29,0.29,0.46,0.42,0.45,0.33,0.36
ALG054+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG055+1,THM,0.15,0.17,0.13,0.13,0.14,0.18,0.23,0.17,0.18,0.13,0.14
ALG056+1,THM,0.10,0.12,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG057+1,THM,0.25,0.25,0.22,0.22,0.24,0.29,0.38,0.33,0.27,0.20,0.21
ALG058+1,THM,0.15,0.17,0.13,0.13,0.14,0.18,0.23,0.17,0.18,0.13,0.14
