AAANNN.p,SZS,v8.2.0,v8.1.0,v8.0.0,v7.5.0,v7.4.0,v7.3.0,v7.2.0,v7.1.0,v7.0.0,v6.4.0,v6.3.0
ARI398_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12,0.17,0.00,0.00
ARI399_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI400_1,THM,0.25,0.25,0.38,0.38,0.40,0.38,0.50,0.50,0.50,0.14,0.00
ARI401_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI402_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI403_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI404_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI405_1,THM,0.00,0.00,0.00,0.00,0.00,0.25,0.33,0.33,0.33,0.14,0.00
ARI406_1,THM,0.00,0.00,0.12,0.12,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI407_1,THM,0.00,0.00,0.12,0.12,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI408_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI409_1,THM,0.00,0.00,0.12,0.12,0.10,0.38,0.50,0.50,0.50,0.14,0.00
ARI410_1,THM,0.00,0.00,0.12,0.12,0.10,0.25,0.33,0.33,0.33,0.14,0.00
ARI411_1,THM,0.00,0.00,0.12,0.12,0.10,0.25,0.33,0.33,0.33,0.14,0.00
ARI412_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI413_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI414_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI415_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI416_1,THM,0.00,0.00,0.00,0.00,0.00,0.25,0.33,0.33,0.33,0.14,0.00
ARI417_1,THM,0.00,0.00,0.00,0.00,0.00,0.25,0.33,0.33,0.33,0.14,0.00
ARI418_1,THM,0.00,0.00,0.00,0.00,0.00,0.25,0.33,0.33,0.33,0.14,0.00
ARI419_1,THM,0.00,0.00,0.00,0.00,0.00,0.25,0.33,0.33,0.33,0.14,0.00
ARI420_1,THM,0.00,0.00,0.12,0.12,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI421_1,THM,0.00,0.00,0.12,0.12,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI422_1,THM,0.00,0.00,0.12,0.12,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI423_1,THM,0.00,0.00,0.12,0.12,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI424_1,THM,0.00,0.00,0.12,0.12,0.10,0.25,0.33,0.33,0.33,0.14,0.00
ARI425_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI426_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI427_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI428_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI429_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI430_1,THM,0.00,0.00,0.12,0.12,0.10,0.38,0.50,0.50,0.50,0.14,0.00
ARI431_1,THM,0.00,0.00,0.12,0.12,0.10,0.25,0.33,0.33,0.33,0.14,0.00
ARI432_1,THM,0.00,0.00,0.12,0.12,0.10,0.25,0.33,0.33,0.33,0.14,0.00
ARI433_1,THM,0.00,0.00,0.12,0.12,0.10,0.25,0.33,0.33,0.33,0.14,0.00
ARI434_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI435_1,THM,0.00,0.00,0.00,0.00,0.00,0.25,0.33,0.33,0.33,0.14,0.00
ARI436_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI437_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI438_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI439_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI440_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI441_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI442_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI443_1,THM,0.00,0.00,0.00,0.00,0.00,0.25,0.33,0.33,0.33,0.14,0.00
ARI444_1,THM,0.00,0.12,0.25,0.25,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI445_1,THM,0.00,0.12,0.25,0.25,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI446_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI447_1,THM,0.00,0.00,0.12,0.12,0.10,0.38,0.50,0.50,0.50,0.14,0.00
ARI448_1,THM,0.00,0.00,0.12,0.12,0.10,0.25,0.33,0.33,0.33,0.14,0.00
ARI449_1,THM,0.00,0.00,0.12,0.12,0.10,0.25,0.33,0.33,0.33,0.14,0.00
ARI450_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI451_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI452_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI453_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI454_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI455_1,THM,0.00,0.00,0.00,0.00,0.00,0.25,0.33,0.33,0.33,0.14,0.00
ARI456_1,THM,0.00,0.00,0.00,0.00,0.00,0.25,0.33,0.33,0.33,0.14,0.00
ARI457_1,THM,0.00,0.12,0.25,0.25,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI458_1,THM,0.00,0.12,0.25,0.25,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI459_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI460_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI461_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI462_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI463_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI464_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI488_1,THM,0.25,0.25,0.38,0.38,0.40,0.38,0.50,0.50,0.50,0.43,0.00
ARI489_1,THM,0.00,0.00,0.12,0.12,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI490_1,THM,0.00,0.00,0.12,0.12,0.10,0.38,0.50,0.50,0.50,0.14,0.00
ARI491_1,THM,0.00,0.00,0.12,0.12,0.10,0.38,0.50,0.50,0.50,0.14,0.00
ARI492_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI493_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12,0.17,0.00,0.00
ARI494_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12,0.17,0.00,0.00
ARI495_1,THM,0.12,0.25,0.38,0.38,0.30,0.38,0.50,0.50,0.50,0.14,0.00
ARI496_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI497_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI498_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI499_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI500_1,THM,0.00,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.00,0.00
ARI501_1,THM,0.00,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.00,0.00
ARI502_1,THM,0.00,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.00,0.00
ARI503_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI504_1,THM,0.25,0.33,0.33,0.33,0.40,0.33,0.25,0.25,0.33,0.17,0.00
ARI505_1,THM,0.00,0.00,0.00,0.00,0.10,0.12,0.17,0.17,0.17,0.14,0.00
ARI506_1,THM,0.12,0.25,0.25,0.25,0.30,0.38,0.33,0.33,0.33,0.29,0.00
ARI507_1,THM,0.00,0.12,0.12,0.12,0.20,0.25,0.17,0.17,0.17,0.29,0.00
ARI508_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI509_1,THM,0.25,0.33,0.33,0.33,0.40,0.33,0.25,0.25,0.33,0.17,0.00
ARI510_1,THM,0.25,0.33,0.33,0.33,0.40,0.33,0.25,0.25,0.33,0.17,0.00
ARI511_1,THM,0.25,0.33,0.33,0.33,0.40,0.33,0.25,0.25,0.33,0.17,0.00
ARI512_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI513_1,THM,0.25,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.17,0.00
ARI514_1,THM,0.25,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.17,0.00
ARI515_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12,0.17,0.00,0.00
ARI516_1,THM,0.25,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.17,0.00
ARI517_1,THM,0.25,0.33,0.33,0.33,0.40,0.33,0.25,0.25,0.33,0.17,0.00
ARI518_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI519_1,THM,0.25,0.17,0.17,0.17,0.20,0.33,0.25,0.25,0.33,0.17,0.00
ARI520_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI522_1,THM,0.00,0.12,0.12,0.12,0.20,0.25,0.17,0.17,0.17,0.29,0.00
ARI523_1,THM,0.00,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.00,0.00
ARI524_1,THM,0.00,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.00,0.00
ARI525_1,CSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI526_1,THM,0.12,0.25,0.25,0.25,0.30,0.38,0.33,0.33,0.33,0.29,0.00
ARI528_1,THM,0.00,0.00,0.00,0.00,0.10,0.12,0.17,0.17,0.17,0.14,0.00
ARI529_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI533_1,CSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI534_1,CSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI535_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI536_1,THM,0.88,0.88,0.88,0.88,0.90,1.00,1.00,1.00,1.00,0.86,0.67
ARI536_2,THM,0.75,0.88,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.86,0.67
ARI536_3,CSA,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ARI536_4,CSA,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ARI537_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI538_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI539_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI540_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI541_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI542_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI543_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI544_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.00,0.00
ARI545_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12,0.17,0.00,0.00
ARI546_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.00,0.00
ARI547_1,THM,0.00,0.00,0.00,0.00,0.10,0.12,0.17,0.17,0.17,0.00,0.00
ARI548_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12,0.17,0.00,0.00
ARI549_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI550_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25,0.17,0.00,0.00
ARI551_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI552_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI553_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI554_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI555_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI556_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.14,0.00
ARI557_1,THM,0.12,0.25,0.38,0.38,0.30,0.25,0.33,0.33,0.50,0.14,0.00
ARI558_1,THM,0.00,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.00,0.00
ARI559_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.14,0.00
ARI560_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI561_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI562_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI563_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI564_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI565_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI566_1,THM,0.00,0.12,0.25,0.25,0.20,0.38,0.50,0.50,0.50,0.14,0.00
ARI567_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12,0.17,0.00,0.00
ARI568_1,THM,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.17,0.17,0.14,0.00
ARI570_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12,0.17,0.00,0.00
ARI571_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12,0.17,0.00,0.00
ARI572_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12,0.17,0.00,0.00
ARI573_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.12,0.17,0.00,0.00
ARI574_1,THM,0.12,0.12,0.12,0.12,0.10,0.12,0.17,0.17,0.17,0.00,0.00
ARI575_1,THM,0.12,0.12,0.12,0.12,0.10,0.12,0.17,0.17,0.17,0.00,0.00
ARI575_2,CSA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.50,0.67,0.33
ARI575_3,CSA,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.50,0.33,0.00
ARI576_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.38,0.38,0.17,0.17,0.00
ARI577_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25,0.17,0.00,0.00
ARI578_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25,0.17,0.00,0.00
ARI579_1,CSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI579_2,THM,0.00,0.33,0.33,0.33,0.20,0.33,0.38,0.38,0.33,0.17,0.00
ARI579_3,THM,0.00,0.17,0.17,0.17,0.00,0.33,0.38,0.38,0.33,0.17,0.00
ARI580_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25,0.17,0.00,0.00
ARI581_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25,0.17,0.00,0.00
ARI582_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25,0.17,0.00,0.00
ARI583_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25,0.17,0.00,0.00
ARI584_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25,0.17,0.00,0.00
ARI585_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25,0.17,0.00,0.00
ARI586_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25,0.17,0.00,0.00
ARI587_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25,0.17,0.00,0.00
ARI588_1,THM,0.00,0.00,0.00,0.00,0.00,0.17,0.38,0.38,0.17,0.00,0.00
ARI589_1,THM,0.25,0.12,0.25,0.25,0.30,0.12,0.17,0.17,0.17,0.29,0.00
ARI590_1,THM,0.12,0.12,0.12,0.12,0.20,0.12,0.17,0.17,0.17,0.00,0.00
ARI591_1,THM,0.12,0.12,0.12,0.12,0.20,0.12,0.17,0.17,0.17,0.00,0.00
ARI592_1,THM,0.12,0.12,0.12,0.12,0.20,0.12,0.17,0.17,0.17,0.00,0.00
ARI593_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.33
ARI594_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.33,0.67
ARI595_1,THM,0.50,0.67,0.67,0.67,0.60,0.67,0.75,0.75,0.67,0.50,0.67
ARI596_1,THM,0.50,0.67,0.67,0.67,0.60,0.67,0.75,0.75,0.67,0.50,0.33
ARI597_1,THM,0.50,0.67,0.67,0.67,0.60,0.67,0.75,0.75,0.67,0.50,0.33
ARI598_1,THM,0.50,0.67,0.67,0.67,0.60,0.67,0.75,0.75,0.67,0.50,0.33
ARI599_1,THM,0.12,0.12,0.12,0.12,0.10,0.00,0.00,0.00,0.00,0.00,0.00
ARI600_1,CSA,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI601_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00
ARI602_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI603_1,THM,0.25,0.33,0.33,0.33,0.40,0.33,0.38,0.38,0.33,0.17,1.00
ARI604_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00
ARI605_1,THM,0.00,0.17,0.17,0.17,0.20,0.17,0.25,0.25,0.17,0.00,0.00
ARI606_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00
ARI607_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.17,0.00,0.00
ARI608_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00
ARI609_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00
ARI610_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00
ARI611_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00
ARI612_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00
ARI613_1,THM,0.12,0.12,0.12,0.12,0.30,0.12,0.00,0.00,0.00,0.00,0.00
ARI614_1,THM,0.25,0.25,0.25,0.25,0.40,0.25,0.17,0.17,0.17,0.00,0.67
ARI615_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00
ARI616_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00
ARI617_1,THM,0.12,0.25,0.12,0.12,0.20,0.00,0.00,0.00,0.00,0.00,0.00
ARI618_1,THM,0.12,0.25,0.25,0.25,0.30,0.00,0.00,0.00,0.00,0.00,0.00
ARI619_1,THM,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
ARI619_2,THM,0.38,0.25,0.38,0.38,0.40,0.50,0.67,0.67,0.67,0.29,0.00
ARI619_3,THM,0.25,0.12,0.25,0.25,0.30,0.38,0.50,0.50,0.50,0.29,0.00
ARI620_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI621_1,THM,0.00,0.00,0.00,0.00,0.10,0.12,0.17,0.17,0.00,0.00,0.00
ARI621_2,THM,0.38,0.25,0.38,0.38,0.40,0.50,0.67,0.67,0.67,0.29,0.00
ARI621_3,THM,0.25,0.12,0.25,0.25,0.30,0.38,0.50,0.50,0.50,0.29,0.00
ARI622_1,THM,0.12,0.12,0.12,0.12,0.30,0.25,0.00,0.00,0.00,0.14,0.00
ARI623_1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ARI624_1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ARI625_1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ARI625_2,CSA,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ARI628_1,THM,0.50,0.33,0.33,0.33,0.40,0.50,0.38,0.38,0.50,0.67,1.00
ARI629_1,THM,0.50,0.33,0.33,0.33,0.40,0.33,0.25,0.25,0.33,0.67,1.00
ARI630_1,THM,0.50,0.33,0.33,0.33,0.40,0.50,0.50,0.50,0.67,0.67,1.00
ARI631_1,THM,0.50,0.33,0.33,0.33,0.40,0.33,0.25,0.25,0.33,0.67,1.00
ARI632_1,THM,0.25,0.17,0.17,0.17,0.20,0.17,0.38,0.38,0.17,0.17,0.00
ARI633_1,THM,0.50,0.50,0.50,0.50,0.60,0.67,0.62,0.62,0.67,1.00,1.00
ARI634_1,THM,0.50,0.67,0.67,0.67,0.60,0.67,0.75,0.75,0.67,1.00,1.00
ARI635_1,THM,0.50,0.50,0.50,0.50,0.40,0.50,0.62,0.62,0.50,1.00,1.00
ARI636_1,THM,0.50,0.50,0.50,0.50,0.40,0.50,0.62,0.62,0.50,1.00,1.00
ARI637_1,THM,0.62,0.75,0.75,0.75,0.80,0.75,0.67,0.67,0.83,1.00,1.00
ARI638_1,THM,0.62,0.75,0.75,0.75,0.90,0.88,0.83,0.83,1.00,1.00,1.00
ARI639_1,THM,0.50,0.50,0.50,0.50,0.40,0.67,0.50,0.50,0.67,1.00,1.00
ARI640_1,THM,0.50,0.33,0.33,0.33,0.40,0.33,0.25,0.25,0.33,0.67,1.00
ARI641_1,THM,0.75,0.67,0.67,0.67,0.60,0.83,0.88,0.88,0.83,1.00,1.00
ARI642_1,THM,0.75,0.83,0.83,0.83,1.00,0.67,0.75,0.75,0.67,1.00,1.00
ARI643_1,THM,0.25,0.38,0.38,0.38,0.40,0.38,0.33,0.33,0.33,0.57,1.00
ARI644_1,CSA,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.50,0.50,1.00
ARI645_1,THM,0.50,0.67,0.67,0.67,0.80,0.83,0.75,0.75,0.83,1.00,1.00
ARI646_1,THM,0.12,0.12,0.12,0.12,0.10,0.00,0.00,0.00,0.00,0.00,0.00
ARI647_1,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI648_1,THM,0.12,0.12,0.12,0.12,0.10,0.00,0.00,0.00,0.00,0.00,0.00
ARI649_1,THM,0.25,0.38,0.38,0.38,0.40,0.38,0.33,0.33,0.33,0.57,1.00
ARI650_1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
ARI651_1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI652_1,THM,0.12,0.25,0.25,0.25,0.30,0.25,0.17,0.17,0.17,0.43,0.50
ARI653_1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI654_1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARI655_1,THM,0.50,0.33,0.33,0.33,0.40,0.33,0.38,0.38,0.50,0.67,1.00
ARI656_1,THM,0.25,0.33,0.33,0.33,0.40,0.33,0.25,0.25,0.33,0.67,1.00
ARI657_1,SAT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
ARI658_1,THM,0.25,0.17,0.17,0.17,0.20,0.17,0.25,0.25,0.17,0.50,1.00
ARI659_1,THM,0.25,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.50,1.00
ARI660_1,THM,0.25,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.50,1.00
ARI661_1,THM,0.25,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.50,1.00
ARI662_1,THM,0.25,0.17,0.17,0.17,0.20,0.17,0.25,0.25,0.17,0.50,1.00
ARI663_1,THM,0.25,0.38,0.38,0.38,0.40,0.38,0.33,0.33,0.33,0.57,1.00
ARI664_1,THM,0.38,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.71,1.00
ARI665_1,CSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,1.00
ARI666_1,CSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.86,1.00
ARI667_1,THM,0.38,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.71,1.00
ARI668_1,THM,0.38,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.71,1.00
ARI669_1,THM,0.12,0.25,0.25,0.25,0.30,0.25,0.17,0.17,0.17,0.57,1.00
ARI670_1,THM,0.25,0.17,0.17,0.17,0.20,0.17,0.12,0.12,0.17,0.50,1.00
ARI671_1,UNS,0.00,0.25,0.33,0.33,0.33,0.33,0.25,0.25,0.33,0.00,1.00
ARI672_1,THM,0.25,0.38,0.38,0.38,0.40,0.38,0.33,0.33,0.33,0.57,1.00
ARI673_1,THM,0.12,0.25,0.25,0.25,0.30,0.25,0.17,0.17,0.17,0.57,1.00
